Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Parcel
695 MINNESOTA ST,,695 MINNESOTA ST,San Francisco,San Francisco,CA,94107,37.762029,-122.390601,25000,,,2014,86,20.1,34.7,25.4,40.2,,,31.3,,4043/016
777 TENNESSEE ST,,777 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.762035,-122.38963,11424,,,2014,,,,,,,,,,4044/013
"Obscura Digital, LC",,2130 3rd St.,San Francisco,San Francisco,CA,94107,37.762732,-122.388791,35902,,,2014,78,37.9,105.5,37.9,105.5,,,104.3,,4044/052
SWL349 - Bldg # 21,,"70 Pier, Bldg # 21",San Francisco,San Francisco,CA,94107,,,33372,,,2014,,52.9,166.2,52.9,166.2,,,66.5,,4052/001
"Pier 70, Bldg # 2",,"70 Pier, Bldg # 2",San Francisco,San Francisco,CA,94107,,,33372,,,2014,83,4,12.6,4,12.6,,,10.9,,4052/001
SWL349 - Bldg # 12,,"70 Pier, Bldg # 12",San Francisco,San Francisco,CA,94107,,,33372,,,2014,,,,,,,,,,4052/001
2203 3RD ST,,2203 3RD ST,San Francisco,San Francisco,CA,94107,37.76159,-122.388586,46230,,,2014,,,,,,,,,,4058/009
815 TENNESSEE ST,,815 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.761515,-122.389575,13276,,,2014,,,,,,,,,,4059/001B
890 TENNESSEE ST,,890 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.760822,-122.389516,38520,,,2014,,,,,,,,,,4060/001
Brian Cruz,,750 FLORIDA ST,San Francisco,San Francisco,CA,94110,37.759688,-122.410927,14472,,,2014,,14,34.9,16,37.8,,,14.7,,4082/005
"Mission Language and Vocational School, Inc. (MLVS)",,2929 19TH ST,San Francisco,San Francisco,CA,94110,37.760398,-122.411398,35072,,,2014,,,,,,,,,,4082/010
2345 Harrison,,2345 HARRISON ST,San Francisco,San Francisco,CA,94110,37.759804,-122.412583,53000,,,2014,,1.3,4.2,1.3,4.2,,,5.7,,4083/001A
Twentieth Street,,3130 20TH ST,San Francisco,San Francisco,CA,94110,37.759057,-122.412025,56055,,,2014,89,28,74.9,28,74.9,,,118.1,,4083/002
3001 19TH ST,,3001 19TH ST,San Francisco,San Francisco,CA,94110,37.760364,-122.412055,16800,,,2014,96,32.5,65.2,38.7,71.7,,,36.1,,4083/004
998 Indiana (GID Photo Studio),,998 INDIANA ST,San Francisco,San Francisco,CA,94107,37.758116,-122.39122,17378,,,2014,,72.1,181.2,78.8,188.2,,,91.5,,4105/011
955 INDIANA ST,,955 INDIANA ST,San Francisco,San Francisco,CA,94107,37.758776,-122.391277,23720,,,2014,,77.7,243.2,77.7,243.2,,,150,,4106/024
950 TENNESSEE ST,,950 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.759824,-122.38943,33500,,,2014,,,,,,,,,,4107/001B
Tennessee Roundhouse LLC,,901 MINNESOTA ST,San Francisco,San Francisco,CA,94107,37.759377,-122.390346,10526,,,2014,,30.4,67.4,31,69.3,,,22.1,,4107/022
2400 3RD ST,,2400 3RD ST,San Francisco,San Francisco,CA,94107,37.759285,-122.388523,22665,,,2014,85,34,93,34,93,,,58.6,,4108/003O
Trayer Engineering Corp.,,898 PENNSYLVANIA AVE,San Francisco,San Francisco,CA,94107,37.755691,-122.392928,35044,,,2014,,43.9,122.3,46.9,125.5,,,118.1,,4167/003
1155 INDIANA ST,,1155 INDIANA ST,San Francisco,San Francisco,CA,94107,37.755709,-122.390985,68332,,,2014,,,,,,,,,,4170/009
1250 TENNESSEE ST,,1250 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.755841,-122.389065,45570,,,2014,,,,,,,,,,4171/020
1209 TENNESSEE ST,,1209 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.755963,-122.389081,65336,,,2014,,,,,,,,,,4172/022
1189 Potrero Ave.,,1189 Potrero Ave,San Francisco,San Francisco,CA,94110,37.753319,-122.406318,10875,,,2014,70,105.5,331.3,103.2,324.1,,,93.6,,4212/019
San Francisco Food Bank,,900 PENNSYLVANIA AVE,San Francisco,San Francisco,CA,94107,37.754382,-122.392816,55000,,,2014,19,51.7,162.2,51.7,162.2,,,231.7,,4224/045
1069 PENNSYLVANIA AVE,,1069 PENNSYLVANIA AVE,San Francisco,San Francisco,CA,94107,37.75312,-122.392687,10911,,,2014,,,,,,,,,,4226/021
1278 INDIANA ST,,1278 INDIANA ST,San Francisco,San Francisco,CA,94107,37.75427,-122.390829,11000,,,2014,,,,,,,,,,4227/032
1234 INDIANA ST,,1234 INDIANA ST,San Francisco,San Francisco,CA,94107,37.754784,-122.390877,15161,,,2014,47,35.4,78.4,36.4,79.4,,,37,,4227/034
Ogden Contract,,1237 MINNESOTA ST,San Francisco,San Francisco,CA,94107,37.754499,-122.389912,23600,,,2014,93,9,22.9,9,22.9,,,15.6,,4229/003
2700 3RD ST,,2700 3RD ST,San Francisco,San Francisco,CA,94107,37.754756,-122.388028,16760,,,2014,,46.5,118.8,50.7,123.2,,,57.4,,4230/001
1300 Illinois Street,,1300 ILLINOIS ST,San Francisco,San Francisco,CA,94107,37.754786,-122.387018,16250,,,2014,47,29.9,94,29.9,94,,,39.7,,4231/002
1215 MICHIGAN ST,,1215 MICHIGAN ST,San Francisco,San Francisco,CA,94107,37.753109,-122.385897,63939,,,2014,,,,,,,,,,4241/004
1401 ILLINOIS ST,,1401 ILLINOIS ST,San Francisco,San Francisco,CA,94107,37.753862,-122.386925,27058,,,2014,,,,,,,,,,4244/003
1485 ILLINOIS ST,,1485 ILLINOIS ST,San Francisco,San Francisco,CA,94107,37.753313,-122.38687,11145,,,2014,,,,,,,,,,4244/004
2800 3RD ST,,2800 3RD ST,San Francisco,San Francisco,CA,94107,37.753736,-122.387919,35160,,,2014,,,,,,,,,,4246/001
1000 25TH ST,,1000 25TH ST,San Francisco,San Francisco,CA,94107,37.752734,-122.389219,24621,,,2014,,,,,,,,,,4247/002
1410 TENNESSEE ST,,1410 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.753822,-122.388864,19200,,,2014,,,,,,,,,,4247/003
1850 CESAR CHAVEZ ST,,1850 CESAR CHAVEZ ST,San Francisco,San Francisco,CA,94107,,,10640,,,2014,,,,,,,,,,4287/004
Yellow Cab Co-op,,1200 MISSISSIPPI ST,San Francisco,San Francisco,CA,94107,37.750094,-122.393391,26000,,,2014,,,,,,,,,,4288/003
1750 CESAR CHAVEZ ST,,1750 CESAR CHAVEZ ST,San Francisco,San Francisco,CA,94107,,,31546,,,2014,,74.3,125.9,76,126.1,,,145,,4288/004
1740 Cesar Chavez,,1740 Cesar Chavez,San Francisco,San Francisco,CA,94107,,,60573,,,2014,,41.6,111.7,42.2,110.4,,,189.7,,4288/005
Potrero Business Center,,1760 CESAR CHAVEZ ST,San Francisco,San Francisco,CA,94124,,,42997,,,2014,,,,,,,,,,4288/006
1405 INDIANA ST,,1405 INDIANA ST,San Francisco,San Francisco,CA,94107,37.752481,-122.390668,12378,,,2014,,,,,,,,,,4293/006
1405 MINNESOTA ST,,1405 MINNESOTA ST,San Francisco,San Francisco,CA,94107,37.751871,-122.389617,12642,,,2014,,,,,,,,,,4294/017
Pier 80 - Service Building,,"80 Pier, 543 Cesar Chavez",San Francisco,San Francisco,CA,94124,,,39000,,,2014,,1.9,6.1,1.9,6.1,,,4.9,,4304/002
Pier 80 - Admin Bldg.,,"80 Pier, Admin Bldg., 501 Cesar Chavez",San Francisco,San Francisco,CA,94124,,,39000,,,2014,37,51,124.9,,,,,152.3,,4304/002
80 Pier - M&R Building,,80 Pier - M&R Building,San Francisco,San Francisco,CA,94124,,,39000,,,2014,1,30.9,96.2,,,,,97.9,,4304/002
3003 3rd Street,,3003 3RD ST,San Francisco,San Francisco,CA,94124,,,46000,,,2014,99,11.8,37,11.8,37,,,44.2,,4314/001A
1600 TENNESSEE ST,,1600 TENNESSEE ST,San Francisco,San Francisco,CA,94107,37.751013,-122.388587,49723,,,2014,78,13.6,34.5,14.7,35.7,,,49.5,,4316/001
1100 Cesar Chavez,,1100 CESAR CHAVEZ ST,San Francisco,San Francisco,CA,94107,,,23360,,,2014,,50.8,102.7,52.2,104.1,,,49.6,,4316/002
1595 INDIANA ST,,1595 INDIANA ST,San Francisco,San Francisco,CA,94107,37.750362,-122.390464,68611,,,2014,,,,,,,,,,4317/018
1950-2190 Cesar Chavez,,2150 CESAR CHAVEZ ST,San Francisco,San Francisco,CA,94107,,,195487,,,2014,,13.1,38.8,13.1,38.8,,,202.4,,4324/002
1218 Connecticut St,,1218 Connecticut St,San Francisco,San Francisco,CA,94107,37.750979,-122.396401,43384,,,2014,,,,,,,,,,4324/003
1501 Vermont,,1501 VERMONT ST,San Francisco,San Francisco,CA,94107,37.750215,-122.402829,12000,,,2014,,29.2,73.5,32.3,75.5,,,25.6,,4329/008
2500 MARIN ST,,2500 MARIN ST,San Francisco,San Francisco,CA,94124,37.748193,-122.402365,22490,,,2014,,,,,,,,,,4339/002
2045 EVANS AVE,,2045 EVANS AVE,San Francisco,San Francisco,CA,94124,37.747907,-122.396446,62988,,,2014,,135,423.9,135,423.9,,,693.3,,4343/002
180 Napoleon St,,180-200 Napoleon St,San Francisco,San Francisco,CA,94124,37.747044,-122.39874,27001,,,2014,,,,,,,,,,4343/004
99 BAY SHORE BLVD,,99 BAY SHORE BLVD,San Francisco,San Francisco,CA,94124,37.746927,-122.403672,49188,,,2014,,,,,,,,,,4343/026
vansales and company,,2398 JERROLD AVE,San Francisco,San Francisco,CA,94124,37.746982,-122.403107,20000,,,2014,,15.7,49.3,14.7,46.2,,,25.6,,4343/028
Hearst City Plant,,1901 CESAR CHAVEZ ST,San Francisco,San Francisco,CA,94124,,,75035,,,2014,95,15.3,45.9,15.3,45.9,,,91.4,,4346/002
08039-Sf-evans,,2090 Evan St.,San Francisco,San Francisco,CA,94124,,,119900,,,2014,,5.6,16.2,5.8,16.5,,,52.6,,4347A/003
