Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Parcel
155 Montgomery,,149 MONTGOMERY ST,San Francisco,San Francisco,CA,94104,37.790742,-122.40235,55785,,,2014,88,48.9,111.7,51.3,114.6,,,202.9,,0288/001
222 Kearny Street,,222 KEARNY ST,San Francisco,San Francisco,CA,94108,37.79015,-122.403932,187852,,,2014,100,23.8,65.5,24.6,66.5,,,320.8,,0288/010
240 KEARNY ST,,240 KEARNY ST,San Francisco,San Francisco,CA,94108,37.790365,-122.403977,16630,,,2014,,,,,,,,,,0288/014
381 BUSH ST,,381 BUSH ST,San Francisco,San Francisco,CA,94108,,,15682,,,2014,,,,,,,,,,0288/017
246 KEARNY ST,,246 KEARNY ST,San Francisco,San Francisco,CA,94108,37.790479,-122.404,61192,,,2014,,,,,,,,,,0288/025
130 Sutter,,130 SUTTER ST,San Francisco,San Francisco,CA,94108,,,96460,,,2014,,,,,,,,,,0288/027
101 Montgomery Street Building,,101 MONTGOMERY ST,San Francisco,San Francisco,CA,94104,37.790412,-122.402276,331034,,,2014,87,66.2,154.2,68.6,156.7,,,1475,,0288/031
225 Bush Street,,225 BUSH ST,San Francisco,San Francisco,CA,94104,37.791131,-122.401213,667616,,,2014,,,,,,,,,,0289/001
One Sansome Street,,1 SANSOME ST,San Francisco,San Francisco,CA,94104,37.790487,-122.400603,746880,,,2014,93,47,117.3,48,118.5,,,2685,,0289/003
100 Montgomery,,120 MONTGOMERY ST,San Francisco,San Francisco,CA,94104,37.790255,-122.402242,434979,,,2014,91,42.4,109.5,44,111.5,,,1422.5,,0289/005
180 Montgomery Street,,180 MONTGOMERY ST,San Francisco,San Francisco,CA,94104,37.790647,-122.402329,325006,,,2014,,,,,,,,,,0289/009
One Bush Street,,1 BUSH ST,San Francisco,San Francisco,CA,94104,37.791247,-122.400255,439099,,,2014,95,70.2,191,71.2,190.5,,,2112.5,,0290/011
1 Sutter Street,,540 MARKET ST,San Francisco,San Francisco,CA,94104,37.790153,-122.400276,29328,,,2014,74,65,124.4,73.3,133.2,,,123.6,,0291/001
560 MARKET ST,,560 MARKET ST,San Francisco,San Francisco,CA,94104,37.789906,-122.400589,11734,,,2014,90,31.3,89.5,31.6,89.8,,,28.5,,0291/004
"Terra Verde - Chancery Building, Chelsea Pacific",,562 MARKET ST,San Francisco,San Francisco,CA,94104,37.789766,-122.400767,65000,,,2014,67,76.2,161.8,79.8,165.6,,,335.4,,0291/005
Hobart Building,,582 MARKET ST,San Francisco,San Francisco,CA,94104,37.78926,-122.401407,106052,,,2014,94,56.4,108.8,60.5,113.1,,,389,,0291/006
44 Montgomery,,44 MONTGOMERY ST,San Francisco,San Francisco,CA,94104,37.789704,-122.402127,760565,,,2014,97,40.5,125.7,40,124.1,,,2502.8,,0291/007
570 Market Street,,570 MARKET ST,San Francisco,San Francisco,CA,94104,37.789628,-122.400941,10713,,,2014,,54.3,155.5,55.2,156.4,,,45.3,,0291/013
111 Sutter Street,,111 SUTTER ST,San Francisco,San Francisco,CA,94104,37.789997,-122.402615,286357,,,2014,91,53.1,128.6,56.5,132.1,,,1091.9,,0292/001
Post Montgomery Center Tower,,1 MONTGOMERY ST,San Francisco,San Francisco,CA,94104,37.789286,-122.402058,764999,,,2014,,,,,,,,,,0292/001A
One Montgomery Owner LLC,,1 Montgomery Street,San Francisco,San Francisco,CA,94104,37.789286,-122.402058,75880,,,2014,78,39.3,114.6,39.3,114.6,,,236.9,,0292/002
Galleria Park Hotel,,191 SUTTER ST,San Francisco,San Francisco,CA,94104,37.789823,-122.403832,127673,,,2014,90,47.9,105.3,50,107.5,,,360.9,,0292/009
165 SUTTER ST,,165 SUTTER ST,San Francisco,San Francisco,CA,94104,37.789918,-122.403181,139070,,,2014,,,,,,,,,,0292/015
127 SUTTER ST,,127 SUTTER ST,San Francisco,San Francisco,CA,94104,37.789963,-122.402906,26436,,,2014,,,,,,,,,,0292/016
211 Sutter Street Partners LLC,,211 SUTTER ST,San Francisco,San Francisco,CA,94108,37.789787,-122.404079,39933,,,2014,,76.7,152.8,76.7,152.8,,,202,,0293/001
133 KEARNY ST,,133 KEARNY ST,San Francisco,San Francisco,CA,94108,37.789225,-122.403742,24759,,,2014,,,,,,,,,,0293/003
100 Post,,100 Post St,San Francisco,San Francisco,CA,94108,37.788855,-122.403964,43174,,,2014,,,,,,,,,,0293/004
126 Post Street Building,,126 POST ST,San Francisco,San Francisco,CA,94108,37.7888,-122.404366,40290,,,2014,,,,,,,,,,0293/005
"Street Retail, Inc.",,150 POST ST,San Francisco,San Francisco,CA,94108,37.788776,-122.404585,107512,,,2014,,,,,,,,,,0293/006
180 Post Street,,180 POST ST,San Francisco,San Francisco,CA,94108,37.788737,-122.404913,43659,,,2014,98,21.3,57.9,21.8,57.4,,,70.5,,0293/007
Grant Avenue,,220 GRANT AVE,San Francisco,San Francisco,CA,94108,37.789074,-122.405297,25166,,,2014,,17.5,55,17.5,55,,,35.9,,0293/008
255 SUTTER ST,,255 SUTTER ST,San Francisco,San Francisco,CA,94108,37.789695,-122.404791,241918,,,2014,,,,,,,,,,0293/009
239 Grant,,239 GRANT AVE,San Francisco,San Francisco,CA,94108,37.78926,-122.405331,10650,,,2014,,63,178.4,63,178.4,,,51.9,,0294/004
231 GRANT AVE,,231 GRANT AVE,San Francisco,San Francisco,CA,94108,37.789188,-122.405319,13000,,,2014,,,,,,,,,,0294/005
Shreve Building,,210 Post Street,San Francisco,San Francisco,CA,94108,37.788678,-122.405371,80732,,,2014,97,36.9,86.3,40.6,90.2,,,210.4,,0294/006
216 POST ST,,216 POST ST,San Francisco,San Francisco,CA,94108,37.788639,-122.40567,38400,,,2014,,,,,,,,,,0294/007
228-240 Post SF,,228 POST ST,San Francisco,San Francisco,CA,94108,37.788613,-122.405874,38294,,,2014,,76.4,239.7,76.4,239.7,,,238.4,,0294/008
246 POST ST,,246 POST ST,San Francisco,San Francisco,CA,94108,37.788577,-122.406153,40700,,,2014,,,,,,,,,,0294/009
Niketown,,278 POST ST,San Francisco,San Francisco,CA,94108,37.788531,-122.406505,72234,,,2014,15,85.8,254.1,85.8,254.1,,,490.3,,0294/011
Taj Campton Place Hotel,,340 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.789079,-122.406903,94000,,,2014,19,150,297.3,150,297.3,,,1007,,0294/013
Galen Building,,391 SUTTER ST,San Francisco,San Francisco,CA,94108,37.78945,-122.406724,32421,,,2014,,,,,,,,,,0294/015
375 SUTTER ST,,375 SUTTER ST,San Francisco,San Francisco,CA,94108,37.789479,-122.406497,20784,,,2014,,,,,,,,,,0294/016
355 SUTTER ST,,355 SUTTER ST,San Francisco,San Francisco,CA,94108,37.789502,-122.406324,16593,,,2014,,,,,,,,,,0294/017
315 SUTTER ST,,315 SUTTER ST,San Francisco,San Francisco,CA,94108,37.789575,-122.405777,10120,,,2014,,14.2,44.6,14.2,44.6,,,11.7,,0294/022
340 POST ST,,340 POST ST,San Francisco,San Francisco,CA,94108,37.788419,-122.407416,19774,,,2014,2,139.6,404,141.8,406.4,,,215.8,,0295/005
360 Post St,,350 POST ST,San Francisco,San Francisco,CA,94108,37.788396,-122.407609,123489,,,2014,66,58.6,151.2,58.6,151.2,,,558.4,,0295/006
Saks - San Francisco,,384 POST ST,San Francisco,San Francisco,CA,94108,37.788345,-122.408013,172000,,,2014,,,,,,,,,,0295/007
Sir Francis Drake Hotel-SV,,432 POWELL ST,San Francisco,San Francisco,CA,94108,,,254875,,,2014,67,82.7,177.1,83.9,177,,,1405.3,,0295/008
PCMB,,447 SUTTER ST,San Francisco,San Francisco,CA,94108,37.789335,-122.407718,88443,,,2014,,,,,,,,,,0295/010
Williams Sonoma - 431 Sutter,,431 SUTTER ST,San Francisco,San Francisco,CA,94108,37.78935,-122.407582,15453,,,2014,,,,,,,,,,0295/013
Grand Hyatt San Francisco,,345 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.789112,-122.406909,602630,,,2014,80,59.6,136.5,61.6,138.5,,,2514.4,,0295/016
449 Powell Street,,449 POWELL ST,San Francisco,San Francisco,CA,94102,37.789033,-122.408578,34173,,,2014,,46.8,146.9,46.8,146.9,,,130.3,,0296/001
Chancellor Hotel,,433 POWELL ST,San Francisco,San Francisco,CA,94102,37.788667,-122.408504,46800,,,2014,63,79.2,154.2,83.2,158.3,,,242.1,,0296/005
400 POST ST,,400 POST ST,San Francisco,San Francisco,CA,94102,37.788248,-122.40878,61407,,,2014,,,,,,,,,,0296/006
Inn at Union Square,,440 POST ST,San Francisco,San Francisco,CA,94102,37.788207,-122.409102,19170,,,2014,,,,,,,,,,0296/007
442 POST ST,,442 POST ST,San Francisco,San Francisco,CA,94102,37.788206,-122.409109,32647,,,2014,,,,,,,,,,0296/008
450 POST ST,,450 POST ST,San Francisco,San Francisco,CA,94102,37.788182,-122.409305,162214,,,2014,30,100.5,163.1,105,167.7,,,993,,0296/009
595 Sutter Street,,595 SUTTER ST,San Francisco,San Francisco,CA,94102,37.78906,-122.410012,10851,,,2014,,78.5,141.4,83.3,146.9,,,55.5,,0296/012B
575 Sutter St,,575 SUTTER ST,San Francisco,San Francisco,CA,94102,37.789091,-122.409786,33000,,,2014,90,22.5,58.7,23.8,60.1,,,55.1,,0296/013
559 SUTTER ST,,559 SUTTER ST,San Francisco,San Francisco,CA,94102,37.789115,-122.409608,17595,,,2014,84,21.4,62.6,22.3,63.6,,,29.6,,0296/013A
547 SUTTER ST,,547 SUTTER ST,San Francisco,San Francisco,CA,94102,37.789135,-122.409459,20212,,,2014,,,,,,,,,,0296/013B
545 Sutter St.,,535 SUTTER ST,San Francisco,San Francisco,CA,94102,37.789155,-122.40931,19786,,,2014,,14.5,39.4,14.9,39.8,,,21.8,,0296/013C
533 SUTTER ST,,533 SUTTER ST,San Francisco,San Francisco,CA,94102,37.789175,-122.40916,12840,,,2014,,,,,,,,,,0296/013D
490 Post Street Owners Association,,490 Post St.,San Francisco,San Francisco,CA,94102,37.788132,-122.409694,113000,,,2014,48,85.4,191.4,92.8,199.2,,,669,,0296/015
Marines Memorial Assn,,609 SUTTER ST,San Francisco,San Francisco,CA,94102,37.788991,-122.410533,168000,,,2014,55,65,144.4,65.9,145.4,,,753.7,,0297/001
The Olympic Club,,524 POST ST,San Francisco,San Francisco,CA,94102,37.787972,-122.41092,259424,,,2014,,92.5,213,95,215.7,,,1683.4,,0297/005
Bohemian Club,,624 TAYLOR ST,San Francisco,San Francisco,CA,94102,37.788143,-122.411771,118969,,,2014,,69.1,119.2,75.5,126,,,511.9,,0297/007
693 SUTTER ST,,693 SUTTER ST,San Francisco,San Francisco,CA,94102,37.788844,-122.411665,24358,,,2014,,,,,,,,,,0297/009
635 SUTTER ST,,635 SUTTER ST,San Francisco,San Francisco,CA,94102,37.788943,-122.410904,43860,,,2014,,,,,,,,,,0297/013
"625 Sutter Street, LLC",,625 SUTTER ST,San Francisco,San Francisco,CA,94102,37.788967,-122.410718,26322,,,2014,,17.4,50,17.4,50,,,35.6,,0297/014
500 Post,,500 POST ST,San Francisco,San Francisco,CA,94102,37.78803,-122.410481,420000,,,2014,63,70.2,155.5,70.7,154.9,,,2033,,0297/028
701 Sutter Street,,701 SUTTER ST,San Francisco,San Francisco,CA,94109,37.788797,-122.412031,19945,,,2014,76,51.1,129.7,55.8,134.6,,,74.7,,0298/001
Fitzgerald Hotel,,620 POST ST,San Francisco,San Francisco,CA,94109,37.787811,-122.41212,13104,,,2014,85,87.4,147.2,87.4,147.2,,,70.7,,0298/007
The Andrews Hotel,,624 POST ST,San Francisco,San Francisco,CA,94109,37.78778,-122.412335,19570,,,2014,90,124.4,173.8,129.6,178.1,,,140.8,,0298/008
H.B. Johnson Store Company,,20 COSMO PL,San Francisco,San Francisco,CA,94109,37.788072,-122.412393,16395,,,2014,,189.7,313.9,193.3,317.8,,,190.8,,0298/033
750 Post Street LLC,,750 POST ST,San Francisco,San Francisco,CA,94109,37.787564,-122.414065,10000,,,2014,,24.5,51.8,30.1,59.1,,,16.6,,0299/005
888 Post Street,,888 POST ST,San Francisco,San Francisco,CA,94109,37.787272,-122.416354,32131,,,2014,,8.2,19.6,8.7,20.1,,,17,,0300/009
Hotel Carlton,,1075 SUTTER ST,San Francisco,San Francisco,CA,94109,37.788038,-122.417945,73480,,,2014,99,53.8,79.6,58.6,85.2,,,233,,0301/017
Post Auto Repair,,955 POST ST,San Francisco,San Francisco,CA,94109,37.787104,-122.41767,13000,,,2014,,,,,,,,,,0302/021
610 GEARY ST,,610 GEARY ST,San Francisco,San Francisco,CA,94109,,,39880,,,2014,,,,,,,,,,0304/005
Vantaggio Suites - 761 Post St,,761 POST ST,San Francisco,San Francisco,CA,94109,37.787535,-122.414287,67200,,,2014,,,,,,,,,,0304/015
650 GEARY ST,,650 GEARY ST,San Francisco,San Francisco,CA,94109,,,42800,,,2014,,,,,,,,,,0304/025
Hotel Adagio - Autograph Collection,,550 GEARY ST,San Francisco,San Francisco,CA,94102,37.78682,-122.412465,99000,,,2014,75,73.6,149.7,74.2,148.5,,,518,,0305/009
580 GEARY ST,,580 GEARY ST,San Francisco,San Francisco,CA,94102,37.786759,-122.412921,33635,,,2014,,,,,,,,,,0305/013
401 MASON ST,,401 MASON ST,San Francisco,San Francisco,CA,94102,37.787279,-122.40991,10580,,,2014,,,,,,,,,,0306/004
436 GEARY ST,,436 GEARY ST,San Francisco,San Francisco,CA,94102,37.787061,-122.41057,56064,,,2014,,,,,,,,,,0306/007
450 Geary St,,450 GEARY ST,San Francisco,San Francisco,CA,94102,37.787038,-122.410744,20295,,,2014,,,,,,,,,,0306/007A
GEARY ST,,466 GEARY ST,San Francisco,San Francisco,CA,94102,37.787006,-122.410997,20295,,,2014,,,,,,,,,,0306/007B
476 GEARY ST,,476 GEARY ST,San Francisco,San Francisco,CA,94102,37.786999,-122.411054,18720,,,2014,,,,,,,,,,0306/009
Warwick San Francisco Hotel,,490 GEARY ST,San Francisco,San Francisco,CA,94102,37.786971,-122.411287,34000,,,2014,,,,,,,,,,0306/012
Prescott Hotel,,"545, 555 POST ST",San Francisco,San Francisco,CA,94102,37.787986,-122.410813,91100,,,2014,,,,,,,,,,0306/022
441 MASON ST,,501 Post Street,San Francisco,San Francisco,CA,94102,37.788083,-122.41008,115722,,,2014,38,52.6,131.2,52.6,131.2,,,442.9,,0306/199
Westin St. Francis Hotel,,335 POWELL ST,San Francisco,San Francisco,CA,94102,37.787984,-122.408366,1471800,,,2014,65,65.4,120.9,65.4,120.9,,,6488.5,,0307/001
Hotel Frank,,386 GEARY ST,San Francisco,San Francisco,CA,94102,37.787187,-122.409591,65576,,,2014,,,,,,,,,,0307/007
Native Sons Building,,414 MASON ST,San Francisco,San Francisco,CA,94102,37.787472,-122.409946,68132,,,2014,,62.4,145.3,63.9,144.6,,,310.9,,0307/008
"491 Post Street, LLC",,491 POST ST,San Francisco,San Francisco,CA,94102,37.788124,-122.409757,37730,,,2014,,18.4,42.9,22.2,47.5,,,52.2,,0307/009
201 POST ST,,201 POST ST,San Francisco,San Francisco,CA,94108,37.788664,-122.405481,96776,,,2014,91,36.8,114.6,37,114.8,,,289.2,,0309/001
140 Geary Street,,132 GEARY ST,San Francisco,San Francisco,CA,94108,37.787681,-122.405705,52596,,,2014,97,30.5,91.5,31.3,92.4,,,127.8,,0309/006
146 GEARY ST,,146 GEARY ST,San Francisco,San Francisco,CA,94108,37.787666,-122.405822,12400,,,2014,68,45,141.3,44.6,140,,,45.5,,0309/007
156 GEARY ST,,156 GEARY ST,San Francisco,San Francisco,CA,94108,37.787647,-122.405982,11025,,,2014,,,,,,,,,,0309/009
166 Geary St.,,166 GEARY ST,San Francisco,San Francisco,CA,94108,37.787634,-122.406098,45203,,,2014,91,42.6,106.8,47.1,112.3,,,147.4,,0309/010
212 Stockton Street,,212 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.787671,-122.406622,42236,,,2014,,,,,,,,,,0309/011
Town and Country Club,,218 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.787838,-122.40666,18425,,,2014,81,41.7,79.7,41.7,79.7,,,52.8,,0309/014
233 POST ST,,233 POST ST,San Francisco,San Francisco,CA,94108,37.788623,-122.405796,21206,,,2014,90,38.7,108.3,38.7,108.3,,,63.1,,0309/017
240 Stockton,,234 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.788158,-122.406723,48934,,,2014,53,66,194,66.9,195.2,,,258.3,,0309/020
250 STOCKTON ST,,250 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.788292,-122.406748,20986,,,2014,100,8.1,25.5,8.1,25.5,,,13.9,,0309/021
275 Post,,275 POST ST,San Francisco,San Francisco,CA,94108,37.788525,-122.406558,13081,,,2014,23,80,175.7,84.4,180.3,,,71.9,,0309/022
"Young Chi Shing, Inc.",,259 POST ST,San Francisco,San Francisco,CA,94108,37.788555,-122.406324,64800,,,2014,40,70.2,184.2,71.1,183.7,,,352.6,,0309/023
251 Post Street,,251 POST ST,San Francisco,San Francisco,CA,94108,37.788495,-122.406786,44573,,,2014,99,18.6,53.4,18.6,53.4,,,65.9,,0309/024
225 POST ST,,225 POST ST,San Francisco,San Francisco,CA,94108,37.78864,-122.405663,19223,,,2014,,,,,,,,,,0309/027
111 Maiden Lane,,130 GEARY ST,San Francisco,San Francisco,CA,94108,37.787718,-122.405419,91299,,,2014,,46.5,135.8,,,,,333.4,,0309/028
101 POST ST,,101 POST ST,San Francisco,San Francisco,CA,94108,37.788865,-122.403892,19875,,,2014,,,,,,,,,,0310/001
K&H California,,45 KEARNY ST,San Francisco,San Francisco,CA,94108,37.788511,-122.403601,24041,,,2014,,,,,,,,,,0310/003
25 Kearny Street,,25 KEARNY ST,San Francisco,San Francisco,CA,94108,37.78828,-122.403553,42489,,,2014,54,50.9,126,50.9,126,,,156.9,,0310/004
12 Geary St. Building,,10 GEARY ST,San Francisco,San Francisco,CA,94108,37.787933,-122.403733,18812,,,2014,100,22.3,42,26.8,46.7,,,27,,0310/005
28 Geary,,28 GEARY ST,San Francisco,San Francisco,CA,94108,37.787882,-122.404105,50121,,,2014,,,,,,,,,,0310/008
Geary Grant LLC,,100 GRANT AVE,San Francisco,San Francisco,CA,94108,37.788001,-122.405087,119000,,,2014,,30.5,90.7,30.7,91.2,,,287.6,,0310/013
185 Post Street,,185 POST ST,San Francisco,San Francisco,CA,94108,37.788726,-122.405,28722,,,2014,39,68.5,188.1,70.4,190.1,,,149.9,,0310/018
177 Post Street Associates,,177 POST ST,San Francisco,San Francisco,CA,94108,37.788751,-122.404804,67390,,,2014,84,41.1,129.1,40.3,126.4,,,226,,0310/019
165 POST ST,,165 POST ST,San Francisco,San Francisco,CA,94108,37.788773,-122.404604,46314,,,2014,47,42.6,131.4,41.7,128.7,,,160,,0310/020
Seaker & Sons,,135 POST ST,San Francisco,San Francisco,CA,94108,37.7888,-122.404366,75950,,,2014,18,104.9,266.5,103.6,259.3,,,584.7,,0310/021
117 POST ST,,117 POST ST,San Francisco,San Francisco,CA,94108,37.7888,-122.404366,24408,,,2014,,,,,,,,,,0310/022
46 GEARY ST,,46 GEARY ST,San Francisco,San Francisco,CA,94108,37.78786,-122.404271,19327,,,2014,,,,,,,,,,0310/024
660 Market Street,,660 MARKET ST,San Francisco,San Francisco,CA,94104,37.788256,-122.40268,36961,,,2014,,,,,,,,,,0311/005
88 Kearny Street Building,,88 KEARNY ST,San Francisco,San Francisco,CA,94104,37.78882,-122.403662,262125,,,2014,85,51.6,138.4,51.5,136.9,,,966.4,,0311/007
Mechanics' Institute,,57 POST ST,San Francisco,San Francisco,CA,94104,37.788968,-122.403091,70769,,,2014,,37.1,72.3,40.1,75.4,,,171.4,,0311/013
One Post Street,,600 MARKET ST,San Francisco,San Francisco,CA,94104,37.788566,-122.402285,460000,,,2014,,,,,,,,,,0311/015
C&W GMIC 720 Market,,720 MARKET ST,San Francisco,San Francisco,CA,94108,37.787136,-122.40412,42890,,,2014,92,39.7,94.5,42.8,97.8,,,121.2,,0312/004
744 MARKET ST,,744 MARKET ST,San Francisco,San Francisco,CA,94108,37.786814,-122.40451,44685,,,2014,,,,,,,,,,0312/006
Grant & Geary,,30 GRANT AVE,San Francisco,San Francisco,CA,94108,37.787462,-122.404992,120971,,,2014,94,32.1,99.5,32.1,99.5,,,315.4,,0312/008
C&W GMIC 49 Geary,,49 Geary Street,San Francisco,San Francisco,CA,94108,37.787863,-122.404249,146134,,,2014,96,31.8,95.3,32.8,96.3,,,370,,0312/009
One Kearny Master Tenant LPA,,1 Kearny St,San Francisco,San Francisco,CA,94108,37.787965,-122.403478,115605,,,2014,,,,,,,,,,0312/031
101 Geary Street,,101 GEARY ST,San Francisco,San Francisco,CA,94108,37.78773,-122.40532,13303,,,2014,62,27.6,82.4,27.8,81.5,,,29.2,,0313/001
55 Grant Ave,,51 GRANT AVE,San Francisco,San Francisco,CA,94108,37.787475,-122.404994,15856,,,2014,,10.2,32.1,9.9,31,,,13.2,,0313/003
23 Grant Avenue,,17 GRANT AVE,San Francisco,San Francisco,CA,94108,37.787179,-122.404939,27620,,,2014,,46.7,116.9,53.2,123.7,,,94,,0313/007
1 GRANT AVE,,1 GRANT AVE,San Francisco,San Francisco,CA,94108,37.787017,-122.404909,28515,,,2014,,,,,,,,,,0313/008
Terra Verde - 26 O'Farrell,,20 OFARRELL ST,San Francisco,San Francisco,CA,94108,37.786754,-122.405531,40858,,,2014,,35.5,79,40.3,85.1,,,100.2,,0313/010
71428B (UNION SQUARE B),,120 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.786884,-122.406462,247617,,,2014,79,41.9,128.1,42.5,128.8,,,833.8,,0313/017
Nieman Marcus,,150 Stockton St.,San Francisco,San Francisco,CA,94108,37.787121,-122.406509,253975,,,2014,86,51.7,162.3,50.3,158,,,1070.1,,0313/018
71428A (UNION SQUARE MAIN),,170 O'Farrell St,San Francisco,San Francisco,CA,94102,37.78653,-122.407308,912400,,,2014,63,70.5,186.5,70.5,186.5,,,4811.2,,0314/001
Union Square Building LLC,,285 GEARY ST,San Francisco,San Francisco,CA,94102,37.78742,-122.407905,41622,,,2014,92,28.8,76.2,29.6,77.1,,,89.6,,0314/016
Gunst Building,,301 GEARY ST,San Francisco,San Francisco,CA,94102,37.787329,-122.408503,50993,,,2014,94,36.4,74.3,39.5,78.5,,,123.5,,0315/001
Hotel Villa Florence,,225 POWELL ST,San Francisco,San Francisco,CA,94102,37.786666,-122.408101,115749,,,2014,46,104.6,199.8,103.5,196.3,,,784.6,,0315/003
Varlow Building,,207 POWELL ST,San Francisco,San Francisco,CA,94102,37.786616,-122.408091,23215,,,2014,,29.4,64,30.6,65.3,,,46.7,,0315/004
Handlery Hotel,,260 OFARRELL ST,San Francisco,San Francisco,CA,94102,37.786309,-122.409106,97000,,,2014,85,21.8,68.6,21.1,66.2,,,172.7,,0315/011
334 MASON ST,,334 MASON ST,San Francisco,San Francisco,CA,94102,37.786608,-122.409773,43074,,,2014,,,,,,,,,,0315/017
340 MASON ST,,340 MASON ST,San Francisco,San Francisco,CA,94102,37.786844,-122.40982,14761,,,2014,,,,,,,,,,0315/019
391 GEARY ST,,391 GEARY ST,San Francisco,San Francisco,CA,94102,37.787186,-122.409592,14761,,,2014,,,,,,,,,,0315/020
Handlery Union Square Hotel,,351 GEARY ST,San Francisco,San Francisco,CA,94102,37.787246,-122.409093,202500,,,2014,60,93,165.5,92,162.4,,,1186.9,,0315/022
American Conservatory Theater,,415 GEARY ST,San Francisco,San Francisco,CA,94102,37.787107,-122.410226,66282,,,2014,,43.5,126.3,43.5,126.3,,,225.8,,0316/001A
Mason O'Farrell Garage,,301 MASON ST,San Francisco,San Francisco,CA,94102,37.786414,-122.409731,384169,,,2014,,285.9,897.7,285.9,897.7,,,292.8,,0316/002
420 Taylor,,420 TAYLOR ST,San Francisco,San Francisco,CA,94102,37.786243,-122.411388,78024,,,2014,15,135,289.6,145.4,300.5,,,422.6,,0316/010
Clift Hotel,,491 GEARY ST,San Francisco,San Francisco,CA,94102,37.786988,-122.411146,271387,,,2014,19,145.1,264.1,143.3,258.4,,,2772.9,,0316/013
445 Geary Street,,459 GEARY ST,San Francisco,San Francisco,CA,94102,37.787022,-122.410861,29641,,,2014,,,,,,,,,,0316/018
Curran Theater,,445 GEARY ST,San Francisco,San Francisco,CA,94102,37.787053,-122.410628,29641,,,2014,,16.1,47.1,16.1,47.1,,,38.1,,0316/018A
Hotel Monaco San Francisco,,501 GEARY ST,San Francisco,San Francisco,CA,94102,37.7869,-122.411854,138003,,,2014,,,,,,,,,,0317/001
Serrano Hotel,,405 TAYLOR ST,San Francisco,San Francisco,CA,94102,37.786331,-122.411406,106577,,,2014,58,85.5,193.1,83.6,187.3,,,661.9,,0317/003
"Fifth Church of Christ, Scientist",,450 OFARRELL ST,San Francisco,San Francisco,CA,94102,37.785883,-122.412341,26904,,,2014,24,14.1,18.2,19.1,23.4,,,21.4,,0317/007
474 OFARRELL ST,,474 OFARRELL ST,San Francisco,San Francisco,CA,94102,37.785849,-122.412608,10005,,,2014,,,,,,,,,,0317/009
869 GEARY ST,,869 GEARY ST,San Francisco,San Francisco,CA,94109,37.786166,-122.417623,12160,,,2014,,,,,,,,,,0320/018A
895 GEARY ST,,895 GEARY ST,San Francisco,San Francisco,CA,94109,37.786151,-122.41774,41564,,,2014,60,61.2,114,61.8,115.9,,,131.8,,0320/024
FYCC,,434 ELLIS ST,San Francisco,San Francisco,CA,94102,37.784797,-122.413388,11500,,,2014,86,27.6,77.1,29.2,78.7,,,24.4,,0323/009
345 TAYLOR ST,,345 TAYLOR ST,San Francisco,San Francisco,CA,94102,37.785592,-122.41125,53000,,,2014,,,,,,,,,,0324/002
415 OFARRELL ST,,415 OFARRELL ST,San Francisco,San Francisco,CA,94102,37.78595,-122.411795,24042,,,2014,,,,,,,,,,0324/022
302 ELLIS ST,,302 ELLIS ST,San Francisco,San Francisco,CA,94102,37.785051,-122.411403,19662,,,2014,,,,,,,,,,0324/026
Hilton San Francisco Union Square,,333 OFARRELL ST,San Francisco,San Francisco,CA,94102,37.786069,-122.410864,1964250,,,2014,45,68.8,138.1,69.5,137.4,,,,,0325/031
"00890-San Francisco, CA",,135 POWELL ST,San Francisco,San Francisco,CA,94102,37.786031,-122.407974,18990,,,2014,14,178.8,550.3,155.2,476.2,,,274,,0326/003
111 POWELL ST,,111 POWELL ST,San Francisco,San Francisco,CA,94102,37.785818,-122.407932,27744,,,2014,,,,,,,,,,0326/004
Hotel Nikko,,222 MASON ST,San Francisco,San Francisco,CA,94102,37.785613,-122.409575,618958,,,2014,58,77.8,166.1,77.8,166.1,,,3143.2,,0326/011
55 Stockton,,55 STOCKTON ST,San Francisco,San Francisco,CA,94102,37.786296,-122.406341,135358,,,2014,97,26.9,82.3,26.7,81.3,,,292.7,,0327/001
39 STOCKTON ST,,39 STOCKTON ST,San Francisco,San Francisco,CA,94102,37.786171,-122.406317,11469,,,2014,,,,,,,,,,0327/004
Retail,,19 STOCKTON ST,San Francisco,San Francisco,CA,94102,37.786014,-122.406286,24800,,,2014,,32.9,103.3,32.9,103.3,,,66.5,,0327/005
Retail,,34 ELLIS ST,San Francisco,San Francisco,CA,94102,37.78568,-122.40652,17800,,,2014,42,44.3,139,42.6,133.8,,,64.2,,0327/008
