Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
Anderson,K-12 School,1034 SOUTH 6OTH ST,Philadelphia,Philadelphia,PA,19143,,,68235,,1963,2014,60,55.6,85.6,,,,,334.3,12.3734154,3330803,783782600
Locke,K-12 School,4550 HAVERFORD AVE,Philadelphia,Philadelphia,PA,19104,39.96255,-75.213535,77000,,1965,2014,25,81.5,135.6,,,,,577,8.283116883,3330804,783206951
South Philadelphia,K-12 School,2101 SOUTH BROAD ST,Philadelphia,Philadelphia,PA,19148,,,331440,,1956,2014,91,64,97.2,,,,,1510.8,8.587376297,3330806,781022700
Franklin HS,K-12 School,550 NORTH BROAD ST,Philadelphia,Philadelphia,PA,19130,,,242293,,1958,2014,54,75.3,123.8,,,,,1387.7,16.60221302,3330807,782025600
CAPA,K-12 School,901 S BROAD ST,Philadelphia,Philadelphia,PA,19147,,,166630,,1997,2014,33,72.2,167.7,,,,,1230.8,14.58920963,3330808,781021910
Vare EH,K-12 School,2101 S 24TH ST,Philadelphia,Philadelphia,PA,19139,,,123019,,1980,2014,30,114.7,156.2,,,,,1148.9,6.104748047,3330811,782808000
Masterman,K-12 School,1699 SPRING GARDEN ST,Philadelphia,Philadelphia,PA,19130,39.963111,-75.166269,105000,,1933,2014,46,91.6,138.1,,,,,738.5,5.855238095,3330813,782513600
Furness HS,K-12 School,1900 S 3RD ST,Philadelphia,Philadelphia,PA,19148,,,145000,,1914,2014,44,120.8,154,,,,,1082.5,11.05448276,3330814,781458200
Fell,K-12 School,900 W OREGON AVE,Philadelphia,Philadelphia,PA,19148,,,61000,,1924,2014,38,114.4,154.2,,,,,451,12.67540984,3330815,781609400
Bregy,K-12 School,1700 BIGLER ST,Philadelphia,Philadelphia,PA,19145,39.914839,-75.176521,66000,,1923,2014,54,85.5,117.7,,,,,370.9,5.654545455,3330817,782008600
Franklin Learning Center,K-12 School,616 N 15TH ST,Philadelphia,Philadelphia,PA,19130,,,150000,,1909,2014,39,97,144.4,,,,,1109,5.704,3330819,782640200
Girard,K-12 School,1801 SNYDER AVE,Philadelphia,Philadelphia,PA,19145,,,66685,,1957,2014,52,62.2,90.8,,,,,357.7,15.50423634,3330821,782720400
McCall,K-12 School,325 SOUTH 7TH ST,Philadelphia,Philadelphia,PA,19106,,,68076,,1909,2014,59,69,109.1,,,,,345.9,7.017157295,3330822,781518600
Meredith,K-12 School,725 SOUTH 5TH ST,Philadelphia,Philadelphia,PA,19147,,,55437,,1930,2014,72,71.7,107.7,,,,,280.6,7.006151127,3330824,781485800
Morris,K-12 School,2600 W THOMPSON ST,Philadelphia,Philadelphia,PA,19121,39.975709,-75.178456,80000,,1966,2014,50,56.3,94.3,,,,,347.9,13.62375,3330825,782565200
GAMP,K-12 School,22ND &amp; RITNER ST,Philadelphia,Philadelphia,PA,19145,,,83460,,1914,2014,12,143.2,232.9,,,,,900.8,5.838725138,3330827,782462200
Palumbo,K-12 School,1122 CATHARINE ST,Philadelphia,Philadelphia,PA,19147,39.94021,-75.16135,185206,,1980,2014,73,84.1,113,,,,,1290.4,5.862121098,3330829,781043800
Jackson,K-12 School,1213 S. 12 ST,Philadelphia,Philadelphia,PA,19147,,,58000,,1925,2014,51,96.3,134.6,,,,,371.8,11.66034483,3330835,781092000
Kirkbride,K-12 School,1501 S 7TH ST,Philadelphia,Philadelphia,PA,19147,,,57000,,1926,2014,24,99.5,131.3,,,,,466.6,15.47017544,3330838,781082800
Nebinger,K-12 School,601 CARPENTER ST,Philadelphia,Philadelphia,PA,19147,,,59000,,1925,2014,18,105.6,143.3,,,,,521,8.228813559,3330839,781042400
Sharswood,K-12 School,2300 S 2ND ST,Philadelphia,Philadelphia,PA,19148,,,73000,,1906,2014,38,87.4,113,,,,,398.9,6.34109589,3330840,781432200
Southwark,K-12 School,1835 S 9TH ST,Philadelphia,Philadelphia,PA,19148,,,138000,,1909,2014,78,55.6,80,,,,,661.4,7.842753623,3330841,781609000
Taggart,K-12 School,400 W PORTER ST,Philadelphia,Philadelphia,PA,19148,,,66000,,1916,2014,45,99.4,133,,,,,544.6,339.0636364,3330842,781490600
Washington ES,K-12 School,1198 S 5TH ST,Philadelphia,Philadelphia,PA,19147,,,68000,,1937,2014,40,94.3,128.5,,,,,417.9,10.57647059,3330844,781486600
Overbrook HS,K-12 School,5898 LANCASTER AVE,Philadelphia,Philadelphia,PA,19131,,,323316,,1926,2014,93,74.5,92.5,,,,,1929.8,4.415803734,3330846,783258200
Strawberry Mansion & Hill,K-12 School,3133 RIDGE AVE,Philadelphia,Philadelphia,PA,19132,,,320920,,1964,2014,56,108.5,141.6,,,,,2210.8,14.85011841,3330851,784374200
Rhodes EW,K-12 School,2900 W CLEARFIELD ST,Philadelphia,Philadelphia,PA,19132,40.003184,-75.178042,180000,,1972,2014,16,70.2,124.1,,,,,1021.7,7.045555556,3330852,784063000
Daroff,K-12 School,5630 VINE ST,Philadelphia,Philadelphia,PA,19139,,,85080,,1972,2014,57,83.2,148.7,,,,,577.7,17.65984955,3330853,783541800
Blaine,K-12 School,3001-29 WEST BERKS ST,Philadelphia,Philadelphia,PA,19121,,,88317,,1967,2014,19,74.6,108,,,,,451,10.48722217,3330854,784035900
Cassidy,K-12 School,6523 LANDSDOWNE AVE,Philadelphia,Philadelphia,PA,19151,,,59123,,1924,2014,20,108.5,136.7,,,,,517.6,34.67855149,3330855,783262200
Heston,K-12 School,1621 N 54TH ST,Philadelphia,Philadelphia,PA,19131,,,81640,,1971,2014,35,72.1,132.5,,,,,491.9,22.80499755,3330857,783257800
Kenderton,K-12 School,1500 W ONTARIO ST,Philadelphia,Philadelphia,PA,19140,40.004945,-75.15439,91008,,1962,2014,56,63,108.4,,,,,533.4,8.772855134,3330858,785657200
Pratt,K-12 School,2200 N 22ND ST,Philadelphia,Philadelphia,PA,19132,,,59000,,1952,2014,56,86.8,109.7,,,,,413.8,23.93389831,3330862,785727200
Duckrey,K-12 School,1501 W DIAMOND ST,Philadelphia,Philadelphia,PA,19121,39.984951,-75.158364,101115,,1968,2014,67,58.9,118.5,,,,,537.6,2.411116056,3330865,784093000
Wright,K-12 School,2700 W DAUPHIN ST,Philadelphia,Philadelphia,PA,19132,39.9906,-75.176968,82000,,1905,2014,46,53.5,102.5,,,,,379.7,11.1597561,3330866,784615800
Overbrook Education Center,K-12 School,6722 LANSDOWNE AVE,Philadelphia,Philadelphia,PA,19151,,,55128,,1915,2014,79,60.5,125.5,,,,,309.1,3.872805108,3330867,783262225
Douglas F,K-12 School,2118 W NORRIS ST,Philadelphia,Philadelphia,PA,19121,39.984797,-75.169229,109651,,1940,2014,25,95,139.6,,,,,722.2,15.30765793,3330868,784321800
Gideon,K-12 School,2817 W GLENWOOD AVE,Philadelphia,Philadelphia,PA,19121,,,67000,,1952,2014,67,77.5,106.1,,,,,429.2,18.11641791,3330869,784168800
Kelley William,K-12 School,1601 N. 28TH ST,Philadelphia,Philadelphia,PA,19121,,,72000,,1966,2014,18,56.2,93.8,,,,,311.6,7.363888889,3330870,784611000
Meade,K-12 School,1600 NORTH 18TH ST,Philadelphia,Philadelphia,PA,19121,,,94000,,1937,2014,40,83.2,108.1,,,,,490.6,12.90638298,3330871,782405200
Jones,K-12 School,2950 MEMPHIS ST,Philadelphia,Philadelphia,PA,19134,39.985798,-75.11287,118000,,1924,2014,63,96.3,131.5,,,,,950.3,3.895762712,3330873,786324800
Penn Treaty,K-12 School,600 E THOMPSON ST,Philadelphia,Philadelphia,PA,19125,,,144000,,1928,2014,43,82.5,119.9,,,,,999.1,12.91944444,3330875,781401800
Stetson,K-12 School,3200 B ST,Philadelphia,Philadelphia,PA,19134,,,140000,,1917,2014,13,76.1,141.4,,,,,1043.3,39.02142857,3330876,786010400
Stoddart-Fleisher,K-12 School,540 N 13TH ST,Philadelphia,Philadelphia,PA,19123,,,108393,,1926,2014,2,140.4,173.7,,,,,1202.7,11.99892982,3330877,781646000
deBurgos,K-12 School,401 W LEHIGH AV,Philadelphia,Philadelphia,PA,19133,39.991955,-75.138794,131500,,2002,2014,67,59.1,109.1,,,,,651.7,9.045627376,3330879,786272100
Conwell,K-12 School,1849 E CLEARFIELD AVE,Philadelphia,Philadelphia,PA,19134,39.994293,-75.11505,55600,,1926,2014,77,98.1,126.1,,,,,442.4,6.78057554,3330880,786072800
Dunbar,K-12 School,1720-58 N 12 TH ST,Philadelphia,Philadelphia,PA,19122,,,53200,,1932,2014,47,82.9,119.2,,,,,378.1,30.94172932,3330883,781641600
Elverson (Military),K-12 School,2118-60 N 13TH ST,Philadelphia,Philadelphia,PA,19122,,,74557,,1930,2014,38,68.3,95.4,,,,,338.6,3.873546414,3330885,781654210
Hackett,K-12 School,2161 E YORK ST,Philadelphia,Philadelphia,PA,19125,39.980848,-75.127083,108550,,1969,2014,57,45.4,98.1,,,,,473.4,6.530631046,3330888,786594000
Hartranft,K-12 School,720 WEST CUMBERLAND ST,Philadelphia,Philadelphia,PA,19133,,,85000,,1968,2014,46,57.4,113.5,,,,,433.9,4.788235294,3330890,785575000
Ludlow,K-12 School,500 W MASTER ST,Philadelphia,Philadelphia,PA,19122,39.972632,-75.144461,70230,,1927,2014,21,89.6,116.1,,,,,393.9,19.66680906,3330891,781497200
McKinley,K-12 School,2101 ORKNEY ST,Philadelphia,Philadelphia,PA,19122,39.982781,-75.141737,74314,,1970,2014,29,74.2,142.1,,,,,477.1,35.97841591,3330892,786525600
Potter-Thomas,K-12 School,3001 N 6TH ST,Philadelphia,Philadelphia,PA,19133,,,79933,,1969,2014,48,94.7,150.3,,,,,559,7.730224063,3330894,786687200
Welsh,K-12 School,2331 N 4TH ST,Philadelphia,Philadelphia,PA,19133,39.986514,-75.139505,71000,,1966,2014,36,75.8,123.1,,,,,405.3,9.533802817,3330897,786646000
Cramp,K-12 School,3449 N MASHER ST,Philadelphia,Philadelphia,PA,19140,40.002795,-75.130393,80088,,1970,2014,12,70.5,215.8,,,,,738.6,7.194585955,3330902,786211400
Kearny,K-12 School,601 FAIRMOUNT AVE,Philadelphia,Philadelphia,PA,19123,,,49000,,1922,2014,1,146.4,214.4,,,,,495.9,9.420408163,3330903,781088800
Marshall T,K-12 School,5118-50 N 6TH ST,Philadelphia,Philadelphia,PA,19120,,,114000,,1997,2014,86,44.9,97.7,,,,,494.7,7.690350877,3330905,786687225
Sheridan,K-12 School,800 E ONTARIO ST,Philadelphia,Philadelphia,PA,19134,39.999837,-75.114796,64767,,1900,2014,25,90.9,121.8,,,,,378.7,51.46756836,3330906,786350400
Webster,K-12 School,3400 FRANKFORD AVE,Philadelphia,Philadelphia,PA,19134,39.995587,-75.105289,92275,,1968,2014,37,67.8,124.1,,,,,600.1,88.75643457,3330908,786146001
Munoz Marin,K-12 School,3300 N 3RD ST,Philadelphia,Philadelphia,PA,19140,,,119250,,1997,2014,13,84.4,174.6,,,,,930.6,6.852830189,3330910,786636550
Hunter,K-12 School,2400-54 N FRONT ST,Philadelphia,Philadelphia,PA,19133,,,98500,,2004,2014,20,95.6,188.2,,,,,834.4,33.09949239,3330911,786154910
Central HS,K-12 School,1700 W OLNEY AVE,Philadelphia,Philadelphia,PA,19141,40.039018,-75.150548,212097,,1939,2014,26,123.7,178.9,,,,,1795.3,16.02521488,3330912,785373600
Roxborough HS,K-12 School,6498 RIDGE AVE,Philadelphia,Philadelphia,PA,19128,,,240000,,1924,2014,86,74.4,105.6,,,,,1203,14.17708333,3330913,784378200
King HS,K-12 School,6100 STENTON AVE,Philadelphia,Philadelphia,PA,19138,40.057654,-75.162143,370000,,1972,2014,24,104.3,203.3,,,,,3391.2,26.46675676,3330914,784421900
Randolph CTE,K-12 School,3101 HENRY AVE,Philadelphia,Philadelphia,PA,19129,,,121579,,1975,2014,11,121.8,215,,,,,1195.8,16.33094531,3330915,784188400
Edmonds FS,K-12 School,8025 THOURON AVE,Philadelphia,Philadelphia,PA,19150,40.072183,-75.170228,80500,,1949,2014,15,118.5,156.1,,,,,605.3,19.73913043,3330920,784479400
Emlen,K-12 School,6501 CHEW AVE,Philadelphia,Philadelphia,PA,19119,40.053854,-75.178437,74500,,1926,2014,2,196.4,241,,,,,877.1,34.58255034,3330921,784061400
Fitler,K-12 School,140 WEST SEYMOUR ST,Philadelphia,Philadelphia,PA,19144,40.026317,-75.166708,38000,,1899,2014,9,118.4,162.3,,,,,378.6,18.31842105,3330922,785435800
Henry,K-12 School,601 CARPENTER LN,Philadelphia,Philadelphia,PA,19119,40.046057,-75.196265,65400,,1908,2014,55,95,132.3,,,,,412.3,8.003058104,3330924,784048800
Houston,K-12 School,7300 RURAL LANE,Philadelphia,Philadelphia,PA,19119,40.058476,-75.194872,72000,,1927,2014,30,103.8,141.2,,,,,486.5,88.36527778,3330925,784003600
Levering,K-12 School,6000 RIDGE AVE,Philadelphia,Philadelphia,PA,19128,,,69475,,1929,2014,54,97.6,121.5,,,,,546.1,4.089240734,3330927,784378000
Logan,K-12 School,1700 LINDLEY AVE,Philadelphia,Philadelphia,PA,19141,40.031317,-75.151823,65000,,1924,2014,8,108.6,133.7,,,,,564.3,13.57230769,3330928,785689600
Shawmont,K-12 School,535 SHAWMONT AVE,Philadelphia,Philadelphia,PA,19128,40.052298,-75.238052,83510,,1929,2014,33,81.2,113.1,,,,,449.9,4.285714286,3330933,784401200
Steel,K-12 School,4301 WAYNE AVE,Philadelphia,Philadelphia,PA,19140,40.01844,-75.157694,85350,,1973,2014,50,55.5,120.6,,,,,505.7,12.95606327,3330934,785508805
Cook-Wissahickon,K-12 School,531 RIGHTER ST.,Philadelphia,Philadelphia,PA,19128,40.022693,-75.20749,73100,,1969,2014,64,70.9,130.2,,,,,432.8,10.32147743,3330936,784378900
Wister,K-12 School,67 E BRINGHURST ST,Philadelphia,Philadelphia,PA,19144,40.032744,-75.166522,93715,,1958,2014,83,57.5,83.5,,,,,462.4,12.25417489,3330937,785046000
Lingelbach,K-12 School,6340 WAYNE AVE,Philadelphia,Philadelphia,PA,19144,40.037664,-75.189089,64963,,1956,2014,63,76.5,109.5,,,,,337.2,30.04171605,3330938,784473400
Dobson,K-12 School,4667 UMBRIA,Philadelphia,Philadelphia,PA,19143,40.030991,-75.230476,52500,,1930,2014,12,115.1,146.5,,,,,373,7.228571429,3330939,784463600
Hill-Freedman,K-12 School,6200 CRITTENDEN ST,Philadelphia,Philadelphia,PA,19138,40.056961,-75.164954,46959,,1980,2014,30,58.3,183,,,,,366.3,6.607891991,3330940,784453800
Kelly John,K-12 School,5116 PULASKI AVE,Philadelphia,Philadelphia,PA,19144,40.024942,-75.171046,101976,,1970,2014,73,64.7,111.8,,,,,523.2,18.36314427,3330941,785401600
Frankford HS,K-12 School,5000 OXFORD AVE,Philadelphia,Philadelphia,PA,19124,,,313765,,1916,2014,77,85.5,125.8,,,,,1861.2,22.46171498,3330943,786407400
Cooke,K-12 School,1300 W LOUDON ST,Philadelphia,Philadelphia,PA,19141,40.025851,-75.14535,117600,,1923,2014,36,89.5,118.3,,,,,866.6,4.929421769,3330944,785372800
Harding,K-12 School,2000 WAKELING ST,Philadelphia,Philadelphia,PA,19124,40.013137,-75.07354,129264,,1924,2014,59,97.3,129.1,,,,,802.5,0.943804926,3330945,786550200
Wagner,K-12 School,1701 CHELTEN AVE,Philadelphia,Philadelphia,PA,19126,40.051184,-75.147006,81589,,1929,2014,13,130.3,168.4,,,,,866.8,8.574685313,3330947,785097400
Juniata Park,K-12 School,801 E HUNTING PARK AVE,Philadelphia,Philadelphia,PA,19124,40.011956,-75.111233,102300,,2007,2014,9,92.6,181.6,,,,,836.7,19.62072336,3330948,884460970
Barton,K-12 School,4600 ROSEHILL ST,Philadelphia,Philadelphia,PA,19120,40.019468,-75.119374,72200,,1925,2014,61,68.7,99.7,,,,,425.3,10.3033241,3330949,785531800
Birney,K-12 School,900 WEST LINDLEY AVE,Philadelphia,Philadelphia,PA,19141,,,59200,,1913,2014,28,143.2,210.3,,,,,587.3,17.74155405,3330950,785317200
Carnell,K-12 School,1100 DEVEREAUX AVE,Philadelphia,Philadelphia,PA,19111,40.039531,-75.084418,74885,,1931,2014,54,97.9,137.8,,,,,617.7,16.81912265,3330951,786106800
Creighton,K-12 School,5401 TABOR AVE,Philadelphia,Philadelphia,PA,19120,40.034726,-75.105332,63232,,1930,2014,60,114.4,153.5,,,,,598.7,16.939208,3330952,786529200
Ellwood,K-12 School,6701 N 13TH ST,Philadelphia,Philadelphia,PA,19126,,,55621,,1957,2014,42,84.6,119,,,,,397.3,11.34283814,3330954,785360600
Stearne,K-12 School,1655 UNITY ST,Philadelphia,Philadelphia,PA,19124,40.011759,-75.085879,76150,,1966,2014,65,51.6,103,,,,,352.3,18.93368352,3330955,786424600
Feltonville Intermediate,K-12 School,4901 RISING SUN AVE,Philadelphia,Philadelphia,PA,19120,40.024577,-75.123187,84000,,1936,2014,71,65.5,112.3,,,,,433.6,25.56904762,3330956,785531600
Lawton,K-12 School,6100 JACKSON ST,Philadelphia,Philadelphia,PA,19135,,,79856,,1973,2014,35,55.3,169.6,,,,,578.6,8.495291525,3330959,786033600
Lowell,K-12 School,450 W NEDRO AVE,Philadelphia,Philadelphia,PA,19120,40.040986,-75.128865,58200,,1914,2014,11,136.5,245.2,,,,,651,25.66838488,3330960,785548000
Washington Grover,K-12 School,201 E OLNEY ST,Philadelphia,Philadelphia,PA,19120,,,149500,,2000,2014,70,60.3,120.4,,,,,808.6,5.839464883,3330961,785373150
McClure,K-12 School,4134 N 6TH ST,Philadelphia,Philadelphia,PA,19140,40.014908,-75.137244,57500,,1916,2014,21,101,139.9,,,,,383.8,18.21565217,3330962,785558600
Morrison,K-12 School,5100 N 3RD ST,Philadelphia,Philadelphia,PA,19120,,,83894,,1924,2014,9,107.7,145,,,,,583.2,7.339023053,3330963,785177400
Sullivan,K-12 School,5300 DITMAN ST,Philadelphia,Philadelphia,PA,19124,40.015393,-75.066625,65000,,1929,2014,54,98.3,133.8,,,,,534.4,10.22,3330964,786112400
Taylor,K-12 School,3698 NORTH RANDOLPH ST,Philadelphia,Philadelphia,PA,19140,,,56600,,1908,2014,61,82.3,123.8,,,,,408.3,12.20671378,3330965,785405400
Prince Hall,K-12 School,6101-6167 N GRATZ,Philadelphia,Philadelphia,PA,19141,,,79000,,1973,2014,26,71.8,145.3,,,,,578.7,14.48227848,3330966,785259000
Feltonville Arts,K-12 School,210 E Coutland St,Philadelphia,Philadelphia,PA,19120,,,78000,,1995,2014,36,84.3,171.3,,,,,598.6,3.530769231,3330967,785127900
Bethune,K-12 School,3301 OLD YORK RD,Philadelphia,Philadelphia,PA,19140,40.00298,-75.148894,99420,,1970,2014,60,67.9,129.1,,,,,580.6,56.44638906,3330968,785367600
Rowen,K-12 School,6841 NORTH 19TH ST,Philadelphia,Philadelphia,PA,19126,40.059717,-75.148583,56400,,1938,2014,59,87.3,118.8,,,,,409.8,58.12411348,3330969,784552600
Swenson CTE,K-12 School,2750 RED LION RD,Philadelphia,Philadelphia,PA,19114,40.092749,-75.012892,171922,,1976,2014,5,105.2,223.2,,,,,1709.8,3.756354626,3330972,786441600
Meehan,K-12 School,3001 RYAN AVE,Philadelphia,Philadelphia,PA,19152,40.041102,-75.043853,204093,,1973,2014,77,42.7,93.2,,,,,843.9,14.78443651,3330974,786482200
Brown JH,K-12 School,3600 STANWOOD ST,Philadelphia,Philadelphia,PA,19136,40.043974,-75.024542,54623,,1937,2014,37,91.9,124.9,,,,,326.6,8.080845065,3330976,786152400
LaBrum,K-12 School,10800 HAWLEY ST,Philadelphia,Philadelphia,PA,19154,,,44500,,1974,2014,29,66.3,202.5,,,,,385.2,14.56853933,3330977,786442000
Spruance,K-12 School,6401 HORROCKS ST,Philadelphia,Philadelphia,PA,19149,40.037914,-75.072979,102143,,1950,2014,81,70.9,102.7,,,,,496,7.282926877,3330979,786304600
Rhawnhurst,K-12 School,7809 CASTOR AVE,Philadelphia,Philadelphia,PA,19152,40.058652,-75.05899,46000,,1949,2014,10,121,169,,,,,370.2,18.27391304,3330980,786066200
Comly,K-12 School,1001 BYBERRY RD,Philadelphia,Philadelphia,PA,19116,40.120158,-75.009583,35045,,1928,2014,6,184.2,262.6,,,,,436.6,26.62576687,3330981,786057000
Fitzpatrick,K-12 School,11061 KNIGHTS RD,Philadelphia,Philadelphia,PA,19154,40.081287,-74.976307,94466,,1959,2014,21,72.6,130,,,,,596.5,12.05089662,3330982,786249100
Kensington HS Health,K-12 School,2445 EMERALD ST,Philadelphia,Philadelphia,PA,19125,,,56394,,2001,2014,40,63.1,117.6,,,,,300.8,4.638791361,3330987,786121075
Patterson,K-12 School,7001 BUIST AVE,Philadelphia,Philadelphia,PA,19142,39.915826,-75.236335,72876,,1921,2014,65,86.3,103.4,,,,,494.8,7.975190735,3333128,783072600
Kensington HS Business-Urban,K-12 School,2075 E CUMBERLAND ST,Philadelphia,Philadelphia,PA,19125,39.984166,-75.126632,108000,,1917,2014,45,90.5,131.7,,,,,835,7.844444444,3335468,786085600
Adaire,K-12 School,1300 E PALMER ST,Philadelphia,Philadelphia,PA,19125,,,49890,,1957,2014,50,93.4,135.7,,,,,320,9.66325917,3337456,781352000
Blankenburg,K-12 School,4612-72 W GIRARD AVE,Philadelphia,Philadelphia,PA,19131,,,64000,,1925,2014,18,126.6,164.6,,,,,508.7,11.8890625,3337457,783175200
Leeds,K-12 School,1100 E MT. PLEASANT AVE,Philadelphia,Philadelphia,PA,19150,40.070585,-75.176274,168259,,1955,2014,40,66.3,96.6,,,,,954.7,15.65146589,3337462,784269400
Pastorius,K-12 School,5650 SPRAGUE ST,Philadelphia,Philadelphia,PA,19138,,,75318,,1967,2014,84,65.9,105.3,,,,,368.6,8.938102446,3337464,785099400
Clemente,K-12 School,122 W ERIE AVE,Philadelphia,Philadelphia,PA,19140,,,232815,,1994,2014,68,43.7,96.1,,,,,992.3,6.047290767,3337468,786125000
Beeber,K-12 School,5925 MALVERN AVE,Philadelphia,Philadelphia,PA,19131,39.985886,-75.242202,139000,,1933,2014,5,99.5,121.5,,,,,1096.4,10.86330935,3338613,783288200
Mifflin,K-12 School,3624 CONRAD ST,Philadelphia,Philadelphia,PA,19129,40.013642,-75.191208,62100,,1937,2014,19,114.5,160.9,,,,,475.3,8.570048309,3339033,784249400
Overbrook School for the Blind,K-12 School,6333 Malvern Avenue,Philadelphia,Philadelphia,PA,19151,,,310473,,1900,2014,59,93.2,153,,,,,2198,12.1791589,3347763,774577000
Widener,K-12 School,1450 WEST OLNEY AVE,Philadelphia,Philadelphia,PA,19141,40.03906,-75.146058,84135,,1953,2014,1,207,340,,,,,1377.7,17.12604742,3356674,785056600
Lincoln HS,K-12 School,3201 RYAN AVE,Philadelphia,Philadelphia,PA,19136,40.043178,-75.044881,292229,,2009,2014,11,130.8,259.8,,,,,3492.1,14.04138535,3358512,786482600
Roosevelt MS,K-12 School,430 E WASHINGTON LANE,Philadelphia,Philadelphia,PA,19144,40.048423,-75.175562,135315,,1924,2014,14,76.1,104.2,,,,,860.4,13.94671692,3404349,784471600
Fels HS,K-12 School,1001 DEVEREUX AVE,Philadelphia,Philadelphia,PA,19111,,,249787,,2009,2014,12,104.2,219.8,,,,,2448.1,14.22291793,3408313,786264650
Hancock,K-12 School,3700 MORRELL AVE,Philadelphia,Philadelphia,PA,19114,,,66000,,1967,2014,73,52.4,118.8,,,,,346.3,9.384848485,3408784,786332800
Rush,K-12 School,11901 Knights Rd,Philadelphia,Philadelphia,PA,19154,40.085034,-74.973242,173550,,1980,2014,4,106.7,211.7,,,,,1706.5,11.31028522,3490893,786249200
Moore,K-12 School,6900 Summerdale Ave,Philadelphia,Philadelphia,PA,19111,40.049053,-75.076453,67701,,1980,2014,23,81.5,125.4,,,,,402.2,31.61991699,3490894,786543400
Willard,K-12 School,1930 E Elkhart St,Philadelphia,Philadelphia,PA,19134,39.992714,-75.115194,97261,,1907,2014,4,106.5,210.9,,,,,922.4,35.07983673,3492406,786118700
Allen Ethel,K-12 School,3200 WEST LEHIGH AVE,Philadelphia,Philadelphia,PA,19132,39.997707,-75.183637,83197,,1971,2014,14,86.4,167.7,,,,,629.3,17.39125209,3493360,784224400
McDaniel,K-12 School,2100 Moore St,Philadelphia,Philadelphia,PA,19145,,,61000,,1937,2014,2,128.7,220.8,,,,,618.9,5.97704918,3498628,782791400
Washington HS,K-12 School,10175 BUSTLETON AVE,Philadelphia,Philadelphia,PA,19116,40.107348,-75.026676,346000,,1962,2014,82,64.6,97.1,,,,,1581.5,23.05780347,3498649,786056200
Bluford,K-12 School,5720 MEDIA ST,Philadelphia,Philadelphia,PA,19131,39.97479,-75.236137,99926,,1909,2014,5,82.6,163,,,,,650.7,5.389988592,3498651,783318200
Jenks John,K-12 School,8301 GERMANTOWN AVE,Philadelphia,Philadelphia,PA,19118,40.074184,-75.203439,54000,,1924,2014,38,88.1,133.1,,,,,417.5,6.47037037,3498652,784167600
Lankenau,K-12 School,201 SPRING LANE,Philadelphia,Philadelphia,PA,19124,,,74000,,1971,2014,49,52.6,123.8,,,,,435.3,4.491891892,3498653,784408400
Kensington HS CAPA,K-12 School,1901 N Front St,Philadelphia,Philadelphia,PA,19125,39.97802,-75.133619,88915,,1917,2014,27,42.6,130.6,,,,,496.4,2.698082438,3505061,777141500
Mitchell,K-12 School,5500 KINGSESSING AVE,Philadelphia,Philadelphia,PA,19143,39.937186,-75.223734,90000,,1915,2014,13,91.5,129.7,,,,,554.2,25.71333333,3583473,786264650
Edison,K-12 School,151 W LUZERNE ST,Philadelphia,Philadelphia,PA,19140,40.011103,-75.128879,316000,,1985,2014,73,72.8,130.1,,,,,1876.8,16.59620253,3583474,786309550
Greenfield,K-12 School,2200 CHESTNUT ST,Philadelphia,Philadelphia,PA,19103,,,96000,,1968,2014,65,52.8,114.2,,,,,506.1,6.583333333,3583475,782092400
Carver,K-12 School,1600 W NORRIS ST,Philadelphia,Philadelphia,PA,19121,39.983777,-75.161195,97000,,1949,2014,97,80,155.7,,,,,1051.9,5.317525773,3583476,784516400
Elkin,K-12 School,3199 D ST,Philadelphia,Philadelphia,PA,19134,,,53200,,1973,2014,21,114.3,220.6,,,,,607.8,18.33834586,3589770,786010800
Pennypacker,K-12 School,1858 E WASHINGTON LANE,Philadelphia,Philadelphia,PA,19146,40.065487,-75.15973,173000,,1930,2014,88,37.2,50,,,,,428.1,3.801734104,3589772,784472600
Lea,K-12 School,4700 LOCUST ST,Philadelphia,Philadelphia,PA,19124,,,70000,,1914,2014,22,100.7,136.3,,,,,544.3,34.43571429,3589870,783705200
Boone,K-12 School,W Jefferson St,Philadelphia,Philadelphia,PA,19121,,,56265,,1963,2014,36,75.1,125.3,,,,,325.4,5.399449036,3599558,782813600
Wilson W,K-12 School,1800 COTTMAN AVE,Philadelphia,Philadelphia,PA,19111,40.053284,-75.06973,139500,,1928,2014,96,31.5,56.7,,,,,412.3,3.823655914,3600823,786082400
Franklin Towne Charter Elementary School,K-12 School,4259 Richmond Street,Philadelphia,Philadelphia,PA,19137,39.996332,-75.075429,110000,,2011,2014,57,51.6,140.6,,,,,668.6,6.336363636,3656455,882126005
Imani Education Charter School,K-12 School,5612 Green St,Philadelphia,Philadelphia,PA,19144,,,61592,,1927,2014,,49,122.6,,,,,329.7,24.89933758,3657578,775095805
