Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
DOA Warehouse,Non-Refrigerated Warehouse,8401 Executive Ave,Philadelphia,Philadelphia,PA,19153,39.884593,-75.228643,88022,,1970,2014,14,88.6,174.1,,,,,689.8,,3632147,884171000
7th Heaven Investments,Non-Refrigerated Warehouse,4219 Van Kirk St.,Philadelphia,Philadelphia,PA,19135,40.020847,-75.065817,60000,,1989,2014,94,13.3,28.1,,,,,75.1,,3635179,884249500
TL Tan LLC,Non-Refrigerated Warehouse,3621 B Street,Philadelphia,Philadelphia,PA,19134,,,189000,,1940,2014,,3.7,9.9,,,,,81.3,2.482010582,3637517,884043500
ephs realty,Non-Refrigerated Warehouse,5704 musgrave st,Philadelphia,Philadelphia,PA,19144,40.0436,-75.16796,79516,,1988,2014,75,33.9,59.1,,,,,215.3,3.682277781,3637888,884246680
American Supply Co,Non-Refrigerated Warehouse,2411 N. American Street,Philadelphia,Philadelphia,PA,19133,39.987472,-75.137028,130000,,1930,2014,100,1,3.1,,,,,17.1,0.418461538,3640515,884343790
856-950 East Erie Avenue,Non-Refrigerated Warehouse,950 East Erie Avenue,Philadelphia,Philadelphia,PA,19134,40.005478,-75.110069,818423,,1952,2014,,2.7,8.4,,,,,292.9,0.243150547,3642778,884108500
Building 611,Non-Refrigerated Warehouse,1120 Flagship Drive,Philadelphia,Philadelphia,PA,19112,,,215827,,1942,2014,,1,3.1,,,,,28.8,0.083400131,3644128,788044100
Moore St Realty Inc,Non-Refrigerated Warehouse,624 Moore street,Philadelphia,Philadelphia,PA,19148,,,57542,,1924,2014,99,3.4,10.8,,,,,25.9,0.596086337,3657730,884004200
0542-Philadelphia - Wayne Ave.,Non-Refrigerated Warehouse,4433 Wayne Ave.,Philadelphia,Philadelphia,PA,19144,40.021104,-75.159839,108210,,2009,2014,40,13.2,38.2,,,,,177.7,0.277238703,3663490,884071500
0774-Philadelphia - Grant Avenue,Non-Refrigerated Warehouse,1553 Grant Avenue,Philadelphia,Philadelphia,PA,19115,,,72755,,2009,2014,73,9.1,28.5,,,,,88.4,0.646003711,3663623,884227301
