Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2)
,Hospital (General Medical & Surgical),800 E 28th St.,Minneapolis,Hennepin,MN,55407,,,1560501,,1926,2014,36,256.3,452.1,248.6,444.5,,,41824.4,
,Office,800 LaSalle Ave.,Minneapolis,Hennepin,MN,55402,,,934285,,1991,2014,76,112,236.1,109,232.5,,,11510.8,
,Office,800 Nicollet Mall,Minneapolis,Hennepin,MN,55402,,,1183471,,2000,2014,84,83.7,195.8,80.6,192.1,,,12961.8,
,Office,800 Washington Avenue N,Minneapolis,Hennepin,MN,55401,,,382374,,1902,2014,89,61.3,151.3,58.1,147.1,,,3666.1,
,Parking,801 LaSalle Avenue,Minneapolis,Hennepin,MN,55402,,,250000,,1968,2014,,7.7,24.2,7.7,24.2,,,396.4,
,Office,801 Nicollet Mall,Minneapolis,Hennepin,MN,55402,,,777563,,1968,2014,81,90.4,217.6,84.9,209,,,6505,
,Parking,814 Ninth Street South,Minneapolis,Hennepin,MN,55404,,,353080,,1981,2014,,194.4,344.5,180.4,327.5,,,508.2,
,Performing Arts,818 2nd St S,Minneapolis,Hennepin,MN,55415,,,360630,,2006,2014,,170,289.4,164.5,283.7,,,4665,
,Vocational School,818 Dunwoody Blvd,Minneapolis,Hennepin,MN,55403,,,225776,,1914,2014,,106.2,181.4,99.1,173.9,,,2422.3,
,Performing Arts,818 S. 2nd Street,Minneapolis,Hennepin,MN,55415,,,231642,,2006,2014,,120.3,358.8,120.4,359.3,,,5403.5,
,Hotel,821 Marquette Ave.,Minneapolis,Hennepin,MN,55402,,,242879,,1929,2014,1,175.8,449.3,173.8,447.2,,,5797,
,Medical Office,825 Nicolette Mall,Minneapolis,Hennepin,MN,55402,,,299253,,1923,2014,70,129.6,216.3,125.2,211,,,4059.2,
,Office,825 S 8th St,Minneapolis,Hennepin,MN,55404,,,176529,,1982,2014,15,164.6,354.9,158.8,348.8,,,3885.3,
