Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,BINs,Borough,Number of Buildings
,Multifamily Housing,149-24 MELBOURNE AVENUE,New York,Queens,NY,11367,,,156736,23000,,2013,,93.9,111.7,93.3,111.1,106.9,11.8,118.7,,11201,4065370028,,4065370028,4436489,Queens,7
,Multifamily Housing,35-16 85 STREET,New York,Queens,NY,11372,,,123000,61440,,2013,,85.7,98.1,85.3,97.7,370.3,27,397.3,,10222,4014580012,,4014580012,4449510,Queens,1
,Multifamily Housing,36 HAMILTON AVENUE,New York,Richmond,NY,10301,,,75914,75904,,2013,,126.6,176.5,128.6,178.6,425.9,128.9,554.8,,11904,5000100019,,5000100019,5000091,Staten Island,1
,Multifamily Housing,305 WEST 52 STREET,New York,New York,NY,10019,,,64020,59701,,2013,,82.7,99.4,82.7,99.3,336.7,36.1,372.8,,2091,1010437501,,1010437501,1025257,Manhattan,1
,Multifamily Housing,,New York,Richmond,NY,,,,,110118,,2013,,39.4,123.8,39.7,124.7,0,353.3,353.3,,16170,5070417501,,5070417501,5085975;5123163;5123164;5123165;5123166;5123167;5123168;5123169;5123170;5123171;5123172;5123173;5123174;5123175;5123176;5123177;5123179;5123180;5123181;5123182;5123184;5123185;5123186;5123187;5123188;5123188;5123189;5123190;5123191;5123192;5123193;5123419;5123420;5123421;5123422;5123423;5123424;5123425;5123426;5123427;5123428;5123429;5123430;5123431;5123432;5123433;5123434;5123435;5123446;5123447;5123448;5123449;5123450;5123451;5123452;5123453;5123454;5123455;5123456;5123457;5123458;5123459;5123460;5123461;5123462;5123463;5123464;5123465;5123466;5123467;5123468;5123469;5123470;5123471;5123472;5123473;5123474;5123475;5123476;5123477;5123478;5123479;5123480;5123481;5123482;5123483;5123484;5123485;5123486;5123487;5123488;5123489;5123490;5123491;5123492;5123493;5123494;5123495;5123496;5123497;5123498;5123499;5123500;5123501;5123502;5123503;5124458;5124459,Staten Island,
,Multifamily Housing,530 WEST 55 STREET,New York,New York,NY,10019,,,151769,410605,,2013,,105.3,153.2,105.3,153.2,1850.2,681,2531.2,,2180,1010830015,Primary,1010830015;1010840009,1000000;1027059;1027061,Manhattan,1
,,525 WEST 55 STREET,New York,New York,NY,10019,,,233348,,,2013,,,,,,,,,,2183,1010840009,Secondary,1010830015;1010840009,1000000;1027059;1027061,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,103100,,2013,,132.7,195.2,,,579.6,224.2,803.8,,15208,1017710010,Primary,1017710010;1017710059;1017710066,1000000;1054411;1054420;1087851,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15209,1017710059,Secondary,1017710010;1017710059;1017710066,1000000;1054411;1054420;1087851,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15210,1017710066,Secondary,1017710010;1017710059;1017710066,1000000;1054411;1054420;1087851,Manhattan,
,Multifamily Housing,217 EAST 104 STREET,New York,New York,NY,10029,,,180319,146650,,2013,,169.7,245.1,169.2,244.6,1071.7,382,1453.7,,4242,1016540011,,1016540011,1000000;1080669;1080671,Manhattan,3
,Office,1 WATER STREET,New York,New York,NY,10004,,,2621563,2428325,,2013,92,92.5,229.5,92.5,229.5,0,21027.1,21027.1,14.85,1,1000047501,,1000047501,1000005,Manhattan,1
,Office,125 BROAD STREET,New York,New York,NY,10004,,,1354691,1338000,,2013,73,134.5,238.3,134.1,238,0,13208.9,13208.9,,2,1000057501,,1000057501,1000006,Manhattan,1
,Office,34 WHITEHALL STREET,New York,New York,NY,10004,,,845018,852840,,2013,78,78.5,211.3,78.5,211,0,5560.6,5560.6,,4,1000090001,,1000090001,1000018,Manhattan,1
,Office,17 STATE STREET,New York,New York,NY,10004,,,544015,574095,,2013,,68.6,181.9,69.1,182.5,1.6,3271.3,3272.9,,5,1000090014,,1000090014,1000020,Manhattan,1
,Office,24 WHITEHALL STREET,New York,New York,NY,10004,,,896956,859807,,2013,37,148.4,309,147.8,309,0,10880.4,10880.4,10.21,6,1000090029,,1000090029,1000021,Manhattan,1
,Office,1 WHITEHALL STREET,New York,New York,NY,10004,,,321994,329991,,2013,64,108,235.1,107.6,234.6,0,3027.7,3027.7,12.83,8,1000100023,,1000100023,1000027,Manhattan,1
,Office,80 BROAD STREET,New York,New York,NY,10004,,,361710,475000,,2013,98,58.9,128.1,59.1,128.4,0,2377,2377,,10,1000110021,,1000110021,1000038,Manhattan,1
,Office,1 BROADWAY,New York,New York,NY,10004,,,180646,208039,,2013,77,59,166.2,59,166.4,139.6,847.2,986.8,,11,1000130001,,1000130001,1000043,Manhattan,1
,Office,11 BROADWAY,New York,New York,NY,10004,,,434220,423348,,2013,72,92.5,227.4,92.8,227.6,0,3286.8,3286.8,,12,1000130005,,1000130005,1000044,Manhattan,1
,Office,,New York,New York,NY,,,,,887690,,2013,77,77.5,195.9,77.5,195.7,0,5757.2,5757.2,,14796,1000130027,,1000130027,1000045,Manhattan,
,Multifamily Housing,225 RECTOR PLACE,New York,New York,NY,10280,,,287819,297200,,2013,,93.1,156.3,93.9,157,1413.5,705.7,2119.2,27.97,46,1000167515,,1000167515,1000053,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,212908,,2013,,91.4,163.5,92.2,164.3,930.8,578.5,1509.3,,14800,1000167518,,1000167518,1000055,Manhattan,
,Office,200 LIBERTY STREET,New York,New York,NY,10281,,,1501878,1485610,,2013,88,109.7,229.8,109.3,229.3,25.2,14660.4,14685.6,8.37,19,1000160120,,1000160120,1000057,Manhattan,1
,Office,225 LIBERTY STREET,New York,New York,NY,10280,,,2267925,2158767,,2013,64,103.8,247.9,103.3,247.3,41.5,17646.8,17688.3,12.51,20,1000160125,,1000160125,1000058,Manhattan,1
,Office,200 VESEY STREET,New York,New York,NY,10281,,,2249866,2280527,,2013,76,96.8,216.4,96.9,216.5,24.1,16441.4,16465.5,11.83,21,1000160140,,1000160140,1000059,Manhattan,1
,Office,250 VESEY PLACE,New York,New York,NY,10282,,,2084079,1955520,,2013,67,27.8,192.4,27.6,192.5,0,8867.8,8867.8,24.75,22,1000160150,,1000160150,1000060,Manhattan,1
,Multifamily Housing,377 RECTOR PLACE,New York,New York,NY,10280,,,220821,199141,,2013,,74.2,128.5,74.4,128.6,528.6,392,920.6,53.95,32,1000167501,,1000167501,1000061,Manhattan,1
,Multifamily Housing,320 ALBANY STREET,New York,New York,NY,10280,,,150855,150667,,2013,,74.8,129.2,75.4,129.6,502.4,305.1,807.5,50.97,33,1000167502,,1000167502,1000301,Manhattan,1
,Office,77 WATER STREET,New York,New York,NY,10005,,,541568,662800,,2013,71,90.1,186.8,88.6,185,0,5095.4,5095.4,,95,1000330001,,1000330001,,Manhattan,1
,Multifamily Housing,300 ALBANY STREET,New York,New York,NY,10280,,,91774,112312,,2013,,77.7,154.4,78.5,154.8,255.9,318,573.9,,35,1000167504,,1000167504,1000436,Manhattan,1
,Multifamily Housing,380 RECTOR PLACE,New York,New York,NY,10280,,,257092,235366,,2013,,106.2,174.7,107.3,175.8,948.6,579.3,1527.9,,36,1000167505,,1000167505,1000544,Manhattan,1
,Multifamily Housing,87 3 AVENUE,New York,New York,NY,10003,,,92304,158740,,2013,,39.7,76.7,39.8,76.8,193.6,216.3,409.9,,450,1004680001,,1004680001,,Manhattan,1
,Multifamily Housing,90 WASHINGTON STREET,New York,New York,NY,10006,,,325515,325672,,2013,,71.3,147.8,71.8,148.4,0,1981.5,1981.5,,49,1000170029,,1000170029,1000793,Manhattan,1
,Multifamily Housing,13 RECTOR STREET,New York,New York,NY,10006,,,366993,366124,,2013,,60.5,155,60.5,155,326,1303.5,1629.5,,50,1000187501,,1000187501,1000794,Manhattan,1
,Retail Store,42 TRINITY PLACE,New York,New York,NY,10006,,,62089,62089,,2013,,56.1,132.5,56.4,133.2,68.5,178.1,246.6,0.29,51,1000190013,,1000190013,1000797,Manhattan,1
,Office,29 BROADWAY,New York,New York,NY,10006,,,316150,296550,,2013,76,85.9,186.9,,,0,2165,2165,,52,1000200001,,1000200001,1000802,Manhattan,1
,Office,39 BROADWAY,New York,New York,NY,10006,,,447452,447442,,2013,74,75.8,192.4,76.1,192.6,0,2835.6,2835.6,,53,1000200004,,1000200004,1000803,Manhattan,1
,Office,45 BROADWAY,New York,New York,NY,10006,,,368315,368305,,2013,44,103.7,273.3,104.3,274.1,29.3,3128.4,3157.7,,54,1000200009,,1000200009,1000804,Manhattan,1
,Office,55 BROADWAY,New York,New York,NY,10006,,,309381,363378,,2013,79,78,208.3,78.5,208.8,17.3,2327.5,2344.8,15.12,55,1000200016,,1000200016,1000807,Manhattan,1
,Office,61 BROADWAY,New York,New York,NY,10006,,,650740,650000,,2013,88,65.9,173.3,65.3,171,0,3563.9,3563.9,,56,1000210001,,1000210001,1000808,Manhattan,1
,Office,65 BROADWAY,New York,New York,NY,10006,,,335184,331684,,2013,1,,,,,69.1,,,,57,1000210004,,1000210004,1000809,Manhattan,1
,Multifamily Housing,69 BROADWAY,New York,New York,NY,10006,,,303086,317135,,2013,,64.7,129,65.2,129.3,809.9,769.9,1579.8,,58,1000210006,,1000210006,1000810,Manhattan,1
,Office,,New York,New York,NY,,,,,686571,,2013,76,83.2,150.7,,,2660.8,1748.5,4409.3,,14802,1000220013,,1000220013,1000811,Manhattan,
,Office,,New York,New York,NY,,,,,389917,,2013,57,93.7,239.2,94.4,239.8,746.8,2153.3,2900.1,,14803,1000220020,,1000220020,1000812,Manhattan,
,Office,50 BROADWAY,New York,New York,NY,10004,,,300676,343345,,2013,32,99.2,264.6,99.6,265.1,0,2831.7,2831.7,,60,1000220024,,1000220024,1000813,Manhattan,1
,Office,52 BROADWAY,New York,New York,NY,10004,,,720400,384831,,2013,21,140.9,344.5,,,0,4552.5,4552.5,,61,1000220028,,1000220028,1000814,Manhattan,1
,Office,20 BROAD STREET,New York,New York,NY,10004,,,466820,473890,,2013,83,106.1,251.8,105.1,250.7,0,4232.1,4232.1,12.72,63,1000230050,,1000230050,1000816,Manhattan,1
