Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,BINs,Borough,Number of Buildings
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15365,2022810010,Secondary,2022710001;2022810010;2022820057;2025680012,2000102;2000264;2091008;2091293;2118035,Bronx,
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15368,2022820057,Secondary,2022710001;2022810010;2022820057;2025680012,2000102;2000264;2091008;2091293;2118035,Bronx,
,Multifamily Housing,509 EAST 144 STREET,New York,Bronx,NY,10454,,,51620,767620,,2013,,,,,,,0,,,5317,2022710001,Primary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,1
,,690 EAST 140 STREET,New York,Bronx,NY,10454,,,100500,,,2013,,,,,,,,,,5649,2025680012,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,3
,,480 EAST 143 STREET,New York,Bronx,NY,10454,,,81576,,,2013,,,,,,,,,,5333,2022870135,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,1
,,510 EAST 146 STREET,New York,Bronx,NY,10455,,,141916,,,2013,,,,,,,,,,5321,2022720005,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,4
,,530 EAST 146 STREET,New York,Bronx,NY,10455,,,142475,,,2013,,,,,,,,,,5325,2022720038,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,4
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15362,2022710020,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15366,2022810010,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15369,2022820057,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15376,2022910023,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15378,2022910050,Secondary,2022710001;2022710020;2022720005;2022720038;2022810010;2022820057;2022870135;2022910023;2022910050;2025680012,2000102;2000103;2000264;2000433;2000513;2090711;2090712;2090713;2090997;2090998;2091008;2091009;2091070;2091071;2091085;2091087;2091092;2091291;2091292;2091293;2093909;2093912;2093913;2118035,Bronx,
,Multifamily Housing,550 CAULDWELL AVENUE,New York,Bronx,NY,10455,,,422400,962460,,2013,,137.3,200.1,136.5,199.4,5643.2,2096.5,7739.7,,5700,2026230135,Primary,2026230135;2026280001,2091317;2091318;2093928;2093932;2093933;2093934,Bronx,2
,,645 WESTCHESTER AVENUE,New York,Bronx,NY,10455,,,914050,,,2013,,,,,,,,,,5704,2026280001,Secondary,2026230135;2026280001,2091317;2091318;2093928;2093932;2093933;2093934,Bronx,4
,Multifamily Housing,611 EAST 158 STREET,New York,Bronx,NY,10456,,,127942,125970,,2013,,129.5,202.3,,,653.1,325.6,978.7,,5703,2026260001,,2026260001,2091325;2091326;2091327;2091328,Bronx,4
,Multifamily Housing,1110 STADIUM AVENUE,New York,Bronx,NY,10465,,,136913,137000,,2013,,98.9,141.3,98.2,140.2,819.7,216.7,1036.4,,7123,2054090041,,2054090041,2091333;2091334,Bronx,2
,Multifamily Housing,550 BALCOM AVENUE,New York,Bronx,NY,10465,,,1172800,397970,,2013,,,,,,,715.5,,,7135,2055640001,Primary,2055640001;2055670001,2091467;2091470;2091481;2091488,Bronx,14
,,2801 RANDALL AVENUE,New York,Bronx,NY,10465,,,650940,,,2013,,,,,,,,,,7136,2055670001,Secondary,2055640001;2055670001,2091467;2091470;2091481;2091488,Bronx,8
,Multifamily Housing,550 BALCOM AVENUE,New York,Bronx,NY,10465,,,1172800,1284280,,2013,,141,199.5,140.4,198.9,7935.9,2569,10504.9,,7134,2055640001,Primary,2055640001;2055670001;2055820001,2091468;2091469;2091471;2091472;2091473;2091474;2091475;2091476;2091477;2091478;2091479;2091480;2091482;2091483;2091484;2091485;2091486;2091487;2093883;2093884;2093885;2093886;2093887;2093888;2093889;2093890;2093891;2093892;2093893;2112983;2112984,Bronx,14
,,3443 DEWEY AVENUE,New York,Bronx,NY,10465,,,337248,,,2013,,,,,,,,,,7141,2055820001,Secondary,2055640001;2055670001;2055820001,2091468;2091469;2091471;2091472;2091473;2091474;2091475;2091476;2091477;2091478;2091479;2091480;2091482;2091483;2091484;2091485;2091486;2091487;2093883;2093884;2093885;2093886;2093887;2093888;2093889;2093890;2093891;2093892;2093893;2112983;2112984,Bronx,11
,,2801 RANDALL AVENUE,New York,Bronx,NY,10465,,,650940,,,2013,,,,,,,,,,7137,2055670001,Secondary,2055640001;2055670001;2055820001,2091468;2091469;2091471;2091472;2091473;2091474;2091475;2091476;2091477;2091478;2091479;2091480;2091482;2091483;2091484;2091485;2091486;2091487;2093883;2093884;2093885;2093886;2093887;2093888;2093889;2093890;2093891;2093892;2093893;2112983;2112984,Bronx,8
,Urgent Care/Clinic/Other Outpatient,1265 FULTON AVENUE,New York,Bronx,NY,10456,,,108501,110000,,2013,,129,308.6,,,269.8,741.4,1011.2,,5690,2026100042,,2026100042,2091800,Bronx,1
,Multifamily Housing,3125 TIBBETT AVENUE,New York,Bronx,NY,10463,,,234000,226808,,2013,,109.7,153.1,109.1,152.6,1534.4,366.6,1901,,7159,2057140164,,2057140164,2091858;2091859,Bronx,2
,Multifamily Housing,60 KNOLLS CRESCENT,New York,Bronx,NY,10463,,,237800,264517,,2013,,109.4,146.7,108.9,146.3,1334.3,328.9,1663.2,,7165,2057230042,,2057230042,2091864;2822533,Bronx,2
,Multifamily Housing,25 KNOLLS CRESCENT,New York,Bronx,NY,10463,,,247247,299616,,2013,,77.5,112.2,77.2,111.9,1014.5,360.8,1375.3,,7166,2057230084,,2057230084,2091866;2091867,Bronx,2
,Multifamily Housing,3875 WALDO AVENUE,New York,Bronx,NY,10463,,,150000,165000,,2013,,58.5,81.2,58.2,80.7,429.5,127.1,556.6,,7219,2057780879,,2057780879,2091874;2091875,Bronx,2
,Multifamily Housing,3616 HENRY HUDSON PKWY E,New York,Bronx,NY,10463,,,207100,207100,,2013,,69.2,92.9,69.1,92.6,894.8,181,1075.8,,7252,2058000001,,2058000001,2091882;2091883;2091884,Bronx,2
,Multifamily Housing,6485 BROADWAY,New York,Bronx,NY,10471,,,127000,152204,,2013,,90.7,112.8,90.3,112.4,763.2,102,865.2,,7271,2058560378,,2058560378,2091885;2091886,Bronx,2
,Multifamily Housing,620 WEST 239 STREET,New York,Bronx,NY,10463,,,119600,55200,,2013,,72.1,100.7,,,236.5,58.1,294.6,21.96,7291,2059070362,,2059070362,2091889,Bronx,2
,Multifamily Housing,620 WEST 239 STREET,New York,Bronx,NY,10463,,,119600,55200,,2013,,,,,,,75.7,,37.14,7292,2059070362,,2059070362,2091888;2091890,Bronx,2
,Multifamily Housing,,New York,Bronx,NY,,,,,70000,,2013,,96.7,132.1,96.6,131.7,413.7,91.7,505.4,,15595,2059090031,,2059090031,2091892,Bronx,
,Multifamily Housing,630 WEST 246 STREET,New York,Bronx,NY,10471,,,443283,360683,,2013,,114.5,148.3,113.4,147.3,2694.2,450.6,3144.8,59.68,7297,2059090825,,2059090825,2091924,Bronx,1
,Multifamily Housing,3750 HUDSON MANOR TERRACE,New York,Bronx,NY,10463,,,163944,163943,,2013,,74.4,106.7,74.4,106.7,528.6,182.1,710.7,,7304,2059190448,,2059190448,2091925,Bronx,2
,Multifamily Housing,3850 HUDSON MANOR TERRACE,New York,Bronx,NY,10463,,,188200,178001,,2013,,71.1,101.8,71.1,101.8,549.1,188,737.1,,7305,2059190460,,2059190460,2091927,Bronx,2
,Multifamily Housing,5530 NETHERLAND AVENUE,New York,Bronx,NY,10471,,,235467,247240,,2013,,94.3,121.2,93.2,119.3,1525,244.7,1769.7,,7318,2059500429,,2059500429,2086307;2091943;2091944;2091945;2091946;2091947;2124118;2124119,Bronx,3
,Multifamily Housing,5600 NETHERLAND AVENUE,New York,Bronx,NY,10471,,,395000,395521,,2013,,100.6,135.4,98.4,132.9,2512.7,509.1,3021.8,,7326,2059530550,,2059530550,2091948,Bronx,3
,Multifamily Housing,5600 NETHERLAND AVENUE,New York,Bronx,NY,10471,,,395000,395521,,2013,,100.6,135.4,98.4,132.9,2512.7,509.1,3021.8,,7327,2059530550,,2059530550,2091948,Bronx,3
,Multifamily Housing,872 TRINITY AVENUE,New York,Bronx,NY,10456,,,292000,344470,,2013,,106.6,214.1,,,,1404.6,,102.75,5705,2026380001,,2026380001,2091949;2091950,Bronx,1
,Multifamily Housing,725 EAST 161 STREET,New York,Bronx,NY,10456,,,750000,641719,,2013,,166.8,232.7,166.1,232,4741.3,1437.9,6179.2,,5706,2026380090,,2026380090,2091956;2091957;2091958;2091959;2091960,Bronx,6
,Multifamily Housing,695 EAST 163 STREET,New York,Bronx,NY,10456,,,880000,1294650,,2013,,148.9,211,148.5,210.6,8439.1,2752.1,11191.2,,5707,2026390001,Primary,2026390001;2026400001,2091961;2091962;2091963;2091964;2091965;2091966;2091967;2091968;2091970;2091971;2091972;2091973;2091974;2091975;2097876,Bronx,9
,,1020 TRINITY AVENUE,New York,Bronx,NY,10456,,,589680,,,2013,,,,,,,,,,5708,2026400001,Secondary,2026390001;2026400001,2091961;2091962;2091963;2091964;2091965;2091966;2091967;2091968;2091970;2091971;2091972;2091973;2091974;2091975;2097876,Bronx,6
,Multifamily Housing,720 WESTCHESTER AVENUE,New York,Bronx,NY,10455,,,463680,906500,,2013,,110.5,172.1,110.1,171.7,4026.7,1978.8,6005.5,,5713,2026540002,Primary,2026540002;2026650001,2091976;2091977;2091978;2091979;2091987;2091988;2091989,Bronx,4
,,680 TINTON AVENUE,New York,Bronx,NY,10455,,,409000,,,2013,,,,,,,,,,5716,2026650001,Secondary,2026540002;2026650001,2091976;2091977;2091978;2091979;2091987;2091988;2091989,Bronx,3
,Multifamily Housing,755 EAST 168 STREET,New York,Bronx,NY,10456,,,74966,74966,,2013,,95.4,131.9,,,319.2,92.6,411.8,51.48,5714,2026630062,,2026630062,2091982,Bronx,1
,Multifamily Housing,,New York,Bronx,NY,,,,,115400,,2013,,143.2,224.7,,,658.9,334.2,993.1,,15440,2026800001,Primary,2026800001;2026800013,2091983;2091984;2091985;2091986;2091990;2091991,Bronx,
,,,New York,Bronx,NY,,,,,,,2013,,,,,,,,,,15441,2026800013,Secondary,2026800001;2026800013,2091983;2091984;2091985;2091986;2091990;2091991,Bronx,
,Multifamily Housing,820 HEWITT PLACE,New York,Bronx,NY,10459,,,114750,128150,,2013,,,,,,,467.9,,,5731,2026960005,,2026960005,2092000;2092001,Bronx,2
,Multifamily Housing,955 EAST 163 STREET,New York,Bronx,NY,10459,,,148828,78815,,2013,,96.5,140.5,98.5,142.3,325.4,98.2,423.6,,5747,2027130002,,2027130002,2005625;2092007,Bronx,2
,Multifamily Housing,955 EAST 163 STREET,New York,Bronx,NY,10459,,,148828,88694,,2013,,76.6,111.4,77.4,112.2,290.8,87.4,378.2,,5748,2027130002,,2027130002,2092008,Bronx,2
,Multifamily Housing,,New York,Bronx,NY,,,,,39814,,2013,,106.4,155.3,105.9,154.4,180.9,67.5,248.4,,15452,2027220048,,2027220048,2092012,Bronx,
,Multifamily Housing,,New York,Bronx,NY,,,,,88434,,2013,,86.3,126.2,86.1,125.6,452.8,132,584.8,,15484,2028410001,,2028410001,2092054,Bronx,
,Multifamily Housing,1512 TOWNSEND AVENUE,New York,Bronx,NY,10452,,,84800,84801,,2013,,104.6,153.7,104,152.6,376.6,144.6,521.2,,5904,2028450007,,2028450007,2092057,Bronx,1
,Multifamily Housing,1590 UNDERCLIFF AVENUE,New York,Bronx,NY,10453,,,173000,173000,,2013,,27,65.2,27,65.2,85.5,248.6,334.1,,5979,2028770166,,2028770166,2092064,Bronx,1
,Multifamily Housing,,New York,Bronx,NY,,,,,56370,,2013,,76.2,114.5,76.2,114.5,178.6,75.7,254.3,68.24,15495,2028780044,,2028780044,2092065,Bronx,
,Multifamily Housing,,New York,Bronx,NY,,,,,74633,,2013,,40.1,49.8,39.9,49.6,144.1,22.5,166.6,44.69,15496,2028780044,,2028780044,2092065,Bronx,
,Multifamily Housing,1600 SEDGWICK AVENUE,New York,Bronx,NY,10453,,,416144,348363,,2013,,117.4,170.5,,,2359.4,687.3,3046.7,138.66,6015,2028800029,,2028800029,2092067,Bronx,2
,Multifamily Housing,1889 SEDGWICK AVENUE,New York,Bronx,NY,10453,,,139235,157625,,2013,,67.9,97.8,67.6,97.4,642.8,175.9,818.7,51.61,6022,2028810058,,2028810058,2092068,Bronx,1
,Multifamily Housing,1849 SEDGWICK AVENUE,New York,Bronx,NY,10453,,,172521,184843,,2013,,74.5,112.1,74.1,111.4,575,244.2,819.2,,6024,2028810084,,2028810084,2092070;2092071,Bronx,1
,Multifamily Housing,,New York,Bronx,NY,,,,,1504200,,2013,,112.9,176.3,112.2,175.7,6802.1,3385,10187.1,,15498,2028940001,Primary,2028940001;2028950001,2092072;2092073;2092074;2092076;2092077;2092078;2112990,Bronx,
,,1402 WEBSTER AVENUE,New York,Bronx,NY,10456,,,753113,,,2013,,,,,,,,,,6029,2028950001,Secondary,2028940001;2028950001,2092072;2092073;2092074;2092076;2092077;2092078;2112990,Bronx,3
,Multifamily Housing,1451 PARK AVENUE,New York,Bronx,NY,10458,,,339386,792250,,2013,,27.6,75.4,27.4,74.7,227.5,1431.9,1659.4,,6033,2029020036,Primary,2029020036;2029110001,2092075;2092093;2092094;2092109;2092112;2092113;2092114,Bronx,3
,,1410 WASHINGTON AVENUE,New York,Bronx,NY,10456,,,473722,,,2013,,,,,,,,,,6037,2029110001,Secondary,2029020036;2029110001,2092075;2092093;2092094;2092109;2092112;2092113;2092114,Bronx,4
,Multifamily Housing,1309 PARK AVENUE,New York,Bronx,NY,10458,,,572187,1128150,,2013,,,,,,,3281.3,,,6031,2029010001,Primary,2029010001;2029100001,2092079;2092082;2092083;2092084;2092085;2092095;2092098;2092099;2092100;2092101,Bronx,5
,,3603 3 AVENUE,New York,Bronx,NY,10456,,,582125,,,2013,,,,,,,,,,6035,2029100001,Secondary,2029010001;2029100001,2092079;2092082;2092083;2092084;2092085;2092095;2092098;2092099;2092100;2092101,Bronx,5
,Multifamily Housing,1309 PARK AVENUE,New York,Bronx,NY,10458,,,572187,2114950,,2013,,94.9,99.7,94.5,99.2,10654.8,0,10654.8,,6032,2029010001,Primary,2023900024;2029010001;2029020036;2029100001;2029110001,2091182;2091183;2092075;2092079;2092082;2092083;2092084;2092085;2092093;2092094;2092095;2092098;2092099;2092100;2092101;2092109;2092112;2092113;2092114,Bronx,5
,,3603 3 AVENUE,New York,Bronx,NY,10456,,,582125,,,2013,,,,,,,,,,6036,2029100001,Secondary,2023900024;2029010001;2029020036;2029100001;2029110001,2091182;2091183;2092075;2092079;2092082;2092083;2092084;2092085;2092093;2092094;2092095;2092098;2092099;2092100;2092101;2092109;2092112;2092113;2092114,Bronx,5
,,1451 PARK AVENUE,New York,Bronx,NY,10458,,,339386,,,2013,,,,,,,,,,6034,2029020036,Secondary,2023900024;2029010001;2029020036;2029100001;2029110001,2091182;2091183;2092075;2092079;2092082;2092083;2092084;2092085;2092093;2092094;2092095;2092098;2092099;2092100;2092101;2092109;2092112;2092113;2092114,Bronx,3
,,1410 WASHINGTON AVENUE,New York,Bronx,NY,10456,,,473722,,,2013,,,,,,,,,,6038,2029110001,Secondary,2023900024;2029010001;2029020036;2029100001;2029110001,2091182;2091183;2092075;2092079;2092082;2092083;2092084;2092085;2092093;2092094;2092095;2092098;2092099;2092100;2092101;2092109;2092112;2092113;2092114,Bronx,4
,,1285 WASHINGTON ST,New York,Bronx,NY,,,,174480,,,2013,,,,,,,,,,5403,2023900024,Secondary,2023900024;2029010001;2029020036;2029100001;2029110001,2091182;2091183;2092075;2092079;2092082;2092083;2092084;2092085;2092093;2092094;2092095;2092098;2092099;2092100;2092101;2092109;2092112;2092113;2092114,Bronx,2
,Supermarket/Grocery Store,250 WILLIS AVENUE,New York,Bronx,NY,10454,,,50710,50710,,2013,,,,,,0,0,0,,5330,2022830001,,2022830001,2092092,Bronx,1
,Multifamily Housing,1531 DR M L KING JR BLVD,New York,Bronx,NY,10453,,,665000,747700,,2013,,154.8,210.3,,,5238.2,1388.4,6626.6,,5978,2028770001,,2028770001,2092102;2092103;2092104;2092105;2092106;2092107;2092108,Bronx,7
,Multifamily Housing,1803 CROTONA PARK NORTH,New York,Bronx,NY,10457,,,286346,289850,,2013,,,,,,,628.2,,,6059,2029440001,,2029440001,2092141;2092142,Bronx,4
,Multifamily Housing,,New York,Bronx,NY,,,,,72380,,2013,,114.8,176.8,114.1,175.7,337.6,158.6,496.2,,15526,2029970030,,2029970030,2092192,Bronx,
,Multifamily Housing,661 EAST 181 STREET,New York,Bronx,NY,10457,,,272000,299200,,2013,,43.1,135.5,43,135,0,1050.1,1050.1,,6133,2030830001,,2030830001,2092283;2092284;2807013,Bronx,2
,Multifamily Housing,,New York,Bronx,NY,,,,,17700,,2013,,460.9,590.4,458.9,588.4,385.1,73.4,458.5,,15536,2031040001,,2031040001,2092313;2092314,Bronx,
,Multifamily Housing,999 EAST TREMONT AVENUE,New York,Bronx,NY,10460,,,228404,37964,,2013,,103.1,151.7,,,165.9,64.2,230.1,,6163,2031300020,,2031300020,2092385,Bronx,2
,Multifamily Housing,999 EAST TREMONT AVENUE,New York,Bronx,NY,10460,,,228404,112796,,2013,,122.1,173,,,602.7,196.7,799.4,,6164,2031300020,,2031300020,2092386,Bronx,2
,Multifamily Housing,989 EAST 179 STREET,New York,Bronx,NY,10460,,,402290,402290,,2013,,88.8,195.5,88.5,194.6,852.7,1600.8,2453.5,100.5,6168,2031320001,,2031320001,2092389;2097878,Bronx,4
,Multifamily Housing,2010 VALENTINE AVENUE,New York,Bronx,NY,10457,,,375225,393986,,2013,,,,,,,,,,6176,2031420001,,2031420001,2092392;2817466,Bronx,2
,Multifamily Housing,2244 TIEBOUT AVENUE,New York,Bronx,NY,10457,,,298964,361500,,2013,,,,,,,740.1,,,6186,2031430155,,2031430155,2092394,Bronx,3
,Multifamily Housing,,New York,Bronx,NY,,,,,69200,,2013,,54.5,74,54.5,74,227.9,49.8,277.7,,15548,2032120082,,2032120082,2092423;2092424,Bronx,
,Multifamily Housing,,New York,Bronx,NY,,,,,54532,,2013,,126.1,162.3,125.6,161.8,323.6,63.5,387.1,76.5,15550,2032150008,,2032150008,2092425;2092426,Bronx,
,Multifamily Housing,,New York,Kings,NY,,,,,1267893,,2013,,90,131.9,89.6,131.6,4848.3,1847.8,6696.1,,12223,3032260053,,3032260053,2092431;2092432;2092433;2092434;2092435;2092436;2092437;2092438;2092439,Brooklyn,
,Multifamily Housing,2661 HEATH AVENUE,New York,Bronx,NY,10463,,,190000,99600,,2013,,287.6,421.6,286.4,420.5,1217.7,463.7,1681.4,,6310,2032390004,,2032390004,2092440,Bronx,1
,Multifamily Housing,40 W MOSHOLU PARKWAY S,New York,Bronx,NY,10468,,,1074489,690612,,2013,,45.5,120.8,45.2,119.9,388.8,1961.6,2350.4,,6350,2032510490,,2032510490,2092444;2092445,Bronx,2
,Multifamily Housing,3965 SEDGWICK AVENUE,New York,Bronx,NY,10463,,,425070,156475,,2013,,120.6,171.9,119.1,169.8,842.2,276.6,1118.8,,6353,2032520052,,2032520052,2092446;2095200,Bronx,3
,Multifamily Housing,2735 SEDGWICK AVENUE,New York,Bronx,NY,10468,,,137495,151244,,2013,,67,75,66.6,74.7,723.9,42.7,766.6,,6368,2032530063,,2032530063,2092453,Bronx,2
,Multifamily Housing,3605 SEDGWICK AVENUE,New York,Bronx,NY,10463,,,153952,160110,,2013,,69.7,81.8,68.5,80.6,775.3,70.1,845.4,,6392,2032580190,,2032580190,2092462;2092463,Bronx,2
,Multifamily Housing,3840 CANNON PLACE,New York,Bronx,NY,10463,,,170350,145834,,2013,,66.9,95.4,66.4,94.6,429.4,143.3,572.7,,6416,2032630235,,2032630235,2092475;2092476,Bronx,1
,Multifamily Housing,3840 CANNON PLACE,New York,Bronx,NY,10463,,,170350,134616,,2013,,66.9,95.4,66.4,94.6,396.4,132.3,528.7,,6417,2032630235,,2032630235,2092475;2092476,Bronx,1
,Multifamily Housing,3154 GRAND CONCOURSE,New York,Bronx,NY,10458,,,77640,77640,,2013,,131.9,164.9,131.9,164.8,674.5,93.2,767.7,,6514,2033120001,,2033120001,2092508;2092509,Bronx,1
,Multifamily Housing,1610 RANDALL AVENUE,New York,Bronx,NY,10473,,,332298,1188700,,2013,,,,,,,0,,,6672,2035150001,Primary,2035150001;2035510001,2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2112985;2112986,Bronx,5
,,1670 SEWARD AVENUE,New York,Bronx,NY,10473,,,537899,,,2013,,,,,,,,,,6676,2035510001,Secondary,2035150001;2035510001,2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2112985;2112986,Bronx,8
,Multifamily Housing,2175 LACOMBE AVENUE,New York,Bronx,NY,10473,,,576012,2213014,,2013,,,,,,8572.3,,,,6674,2035340001,Primary,2035340001;2035370001;2035700001;2035730001,2092630;2092631;2092632;2092633;2092634;2092635;2092636;2092637;2092673;2092674;2092675;2092676;2092677;2092678,Bronx,4
,,615 CASTLE HILL AVENUE,New York,Bronx,NY,10473,,,638539,,,2013,,,,,,,,,,6680,2035700001,Secondary,2035340001;2035370001;2035700001;2035730001,2092630;2092631;2092632;2092633;2092634;2092635;2092636;2092637;2092673;2092674;2092675;2092676;2092677;2092678,Bronx,4
,,2225 LACOMBE AVENUE,New York,Bronx,NY,10473,,,576011,,,2013,,,,,,,,,,6675,2035370001,Secondary,2035340001;2035370001;2035700001;2035730001,2092630;2092631;2092632;2092633;2092634;2092635;2092636;2092637;2092673;2092674;2092675;2092676;2092677;2092678,Bronx,4
,,2245 RANDALL AVENUE,New York,Bronx,NY,10473,,,277008,,,2013,,,,,,,,,,6681,2035730001,Secondary,2035340001;2035370001;2035700001;2035730001,2092630;2092631;2092632;2092633;2092634;2092635;2092636;2092637;2092673;2092674;2092675;2092676;2092677;2092678,Bronx,2
,Multifamily Housing,633 OLMSTEAD AVENUE,New York,Bronx,NY,10473,,,598478,598475,,2013,,129.3,181.7,128.4,180.1,4599,1161.7,5760.7,,6679,2035670001,,2035670001,2092668,Bronx,5
,Multifamily Housing,1660 LAFAYETTE AVENUE,New York,Bronx,NY,10473,,,113100,349800,,2013,,164.3,172.6,163.4,171.6,3050.8,0,3050.8,,6685,2035910001,Primary,2035910001;2036330001,2092682;2092683;2092684;2092685;2092686;2092687;2092688;2092689;2092690;2092691;2092692;2092693;2092694;2092695;2092696;2092697;2092727;2092728;2092729;2092730;2092731;2092732;2092733;2092734;2092735;2092736;2092737;2092738;2092739;2092740;2092741;2092742;2092743;2092744;2092745;2092746;2092747;2095238;2095239;2095240;2095241;2095242;2095243;2095244;2095245;2095246,Bronx,16
,Multifamily Housing,1660 LAFAYETTE AVENUE,New York,Bronx,NY,10473,,,113100,1538500,,2013,,,,,,,3505.6,,,6686,2035910001,Primary,2035150001;2035510001;2035910001;2036330001,2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2092682;2092683;2092684;2092685;2092686;2092687;2092688;2092689;2092690;2092691;2092692;2092693;2092694;2092695;2092696;2092697;2092727;2092728;2092729;2092730;2092731;2092732;2092733;2092734;2092735;2092736;2092737;2092738;2092739;2092740;2092741;2092742;2092743;2092744;2092745;2092746;2092747;2095238;2095239;2095240;2095241;2095242;2095243;2095244;2095245;2095246;2112985;2112986,Bronx,16
,,857 LAFAYETTE AVENUE,New York,Bronx,NY,10472,,,233050,,,2013,,,,,,,,,,6706,2036330001,Secondary,2035910001;2036330001,2092682;2092683;2092684;2092685;2092686;2092687;2092688;2092689;2092690;2092691;2092692;2092693;2092694;2092695;2092696;2092697;2092727;2092728;2092729;2092730;2092731;2092732;2092733;2092734;2092735;2092736;2092737;2092738;2092739;2092740;2092741;2092742;2092743;2092744;2092745;2092746;2092747;2095238;2095239;2095240;2095241;2095242;2095243;2095244;2095245;2095246,Bronx,30
,,857 LAFAYETTE AVENUE,New York,Bronx,NY,10472,,,233050,,,2013,,,,,,,,,,6707,2036330001,Secondary,2035150001;2035510001;2035910001;2036330001,2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2092682;2092683;2092684;2092685;2092686;2092687;2092688;2092689;2092690;2092691;2092692;2092693;2092694;2092695;2092696;2092697;2092727;2092728;2092729;2092730;2092731;2092732;2092733;2092734;2092735;2092736;2092737;2092738;2092739;2092740;2092741;2092742;2092743;2092744;2092745;2092746;2092747;2095238;2095239;2095240;2095241;2095242;2095243;2095244;2095245;2095246;2112985;2112986,Bronx,30
