Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),ENERGY STAR Certification Years,Tax Parcel
SYNH LLC,Multifamily Housing,115 St Stephen,Boston,Suffolk,MA,2115,,,45324,,1950,2014,100,10.1,,,,,,43.3,43.91,,342026457
THE BRIGHAM AND WOMEN'S,Office,75 Fenwood Road,Boston,Suffolk,MA,2115,,,65692,,2012,2014,24,144.1,,,,,,736.8,4.22,,1000240010
"The First Church of Christ, Scientist (plaza)",Office,210 Massachusetts Avenue,Boston,Suffolk,MA,2115,,,1271190,,1934,2014,,112.3,,,,,,8017.9,8.47,,0401185000;0401150000;0401162000
The MASCO Building,Office,375 Longwood Avenue,Boston,Suffolk,MA,2115,,,83307,,1992,2014,,137.1,,,,,,925.2,21.68,,1996100
The Midtown Hotel,Hotel,220 Huntington Avenue,Boston,Suffolk,MA,2115,,,98468,,1961,2014,88,80.9,,,,,,602.4,73.66,,402304000
The Park Drive Condominium,Multifamily Housing,63-69 Park Drive,Boston,Suffolk,MA,2115,,,35000,,1925,2014,99,44.6,,,,,,102.9,40.11,,504253000
Warehouse,College/University,76 Atherton Street,Boston,Suffolk,MA,2115,,,140197,,1910,2014,,45.2,,,,,,373.7,3.44,,
Wentworth Institute of Technology,College/University,550 Huntington Ave.,Boston,Suffolk,MA,2115,,,1289491,,1910,2014,,85.9,,,,,,7411,18.82,,402024000;402025000;401826000;402037001;401810000;401833000;401832000;401831000;401830000;401815000;401814000;401812000;401811000;401816000;401817000;401819000;402044000;402045000;902907000;402031000;401822000
Westland Ave Apartments,Multifamily Housing,65 Westland Ave,Boston,Suffolk,MA,2115,,,114949,,1900,2014,99,47.4,,,,,,315.9,38.46,,401512000
XII Stoneholm Condominium Trust,Multifamily Housing,12 Stoneholm St,Boston,Suffolk,MA,2115,,,118301,,1900,2014,96,29.6,,,,,,338.4,37.18,,401404000
YMCA of Greater Boston - Huntington,Fitness Center/Health Club/Gym,316 Huntington Avenue,Boston,Suffolk,MA,2115,,,100961,,2014,2014,,,,,,,,,24.51,,0402245045;0402245042
10 St. James Ave.,Office,10 St. James Avenue,Boston,Suffolk,MA,2116,,,726531,,2001,2014,73,74.1,,,,,,4070.4,11.39,2011;2009;2008;2007,501152000
100 Arlington,Multifamily Housing,100 Arlington Street,Boston,Suffolk,MA,2116,,,203204,,1926,2014,36,54.2,,,,,,872.3,10.36,,500805000
100 Clarendon Street Garage,Other,100 Clarendon Street,Boston,Suffolk,MA,2116,,,843168,,1969,2014,,21.1,,,,,,1698.5,1.42,,401082001
116 Huntington,Office,116 Huntington Ave,Boston,Suffolk,MA,2116,,,307473,,1990,2014,84,61.8,,,,,,1715.5,14.04,2010,401013010
"12 Commonwealth Avenue, Boston, MA",Multifamily Housing,12 Commonwealth Avenue,Boston,Suffolk,MA,2116,,,42860,,1920,2014,69,99.4,,,,,,328.2,42.19,,
120 Herald Street,Other,120 Herald Street,Boston,Suffolk,MA,2116,,,115680,,1967,2014,,2,,,,,,22.5,,,500515000
137 Newbury Street,Office,137 Newbury St.,Boston,Suffolk,MA,2116,,,50737,,1929,2014,64,78.2,,,,,,319.6,15.92,,501339000
140 Clarendon,Mixed Use Property,140 Clarendon Street,Boston,Suffolk,MA,2116,,,146533,,1930,2014,,114.3,,,,,,1389.4,40.37,,401085000
175 Berkeley St. (0001),Office,175 Berkeley St.,Boston,Suffolk,MA,2116,,,522349,,1958,2014,,82.9,,,,,,3335.7,8.3,2011;2010;2009;2008,0501153000;0501155000
180 beacon condominium trust,Multifamily Housing,180 beacon street,Boston,Suffolk,MA,2116,,,210000,,1968,2014,52,69,,,,,,834.8,,,
330 Beacon Street,Multifamily Housing,330 Beacon Street,Boston,Suffolk,MA,2116,,,138000,,1950,2014,80,52.8,,,,,,504.1,20.69,,
33787-Boston Copley Marriott,Hotel,110 Huntington Ave,Boston,Suffolk,MA,2116,,,863000,,1983,2014,57,90,,,,,,6418.4,43.67,,400985100
380 Stuart Street,Office,380 Stuart Street,Boston,Suffolk,MA,2116,,,149000,,1930,2014,93,51,,,,,,696.4,9.59,2014;2013;2012;2011;2010;2009,401131000
399 Boylston,Office,399 Boylston St,Boston,Suffolk,MA,2116,,,229043,,1984,2014,,82.7,,,,,,1833,8.85,,501230000
40 Berkeley Street,Hotel,40 Berkeley St,Boston,Suffolk,MA,2116,,,74655,,1899,2014,42,126.6,,,,,,565.7,44.52,,500865000
420 Boylston Street aka 414-426 Boylston Street && 211 Berkeley Street,Office,420 Boylston Street,Boston,Suffolk,MA,2116,,,128641,,1906,2014,88,59.4,,,,,,608.6,10.37,,501157000
441 stuart st,Office,441 stuart st,Boston,Suffolk,MA,2116,,,155408,,1937,2014,,70.7,,,,,,905.9,19.59,,401088000
501 Boylston,Office,501 Boylston Street,Boston,Suffolk,MA,2116,,,727003,,1940,2014,79,89.8,,,,,,4511.4,14.37,2014;2013;2012;2011;2010;2009;2007;2005,0501296002;0501296004;0501296006
543-547 Washington Street,College/University,543-547 Washington Street,Boston,Suffolk,MA,2116,,,146942,,2008,2014,,,,,,,,,46.76,,304839010
699 Boylston St,Office,699 Boylston St,Boston,Suffolk,MA,2116,,,211351,,1983,2014,65,59.2,,,,,,1210.1,10.03,,501397000
745 Boylston Street,Office,745 Boylston Street,Boston,Suffolk,MA,2116,,,115642,,1987,2014,,38,,,,,,396.5,39.91,,503207100
75 Arlington Street,Office,75 Arlington Street,Boston,Suffolk,MA,2116,,,269327,,1913,2014,89,61.7,,,,,,1458.8,9.56,,501151000
"755 Boylston, LLC",Multifamily Housing,755 Boylston Street,Boston,Suffolk,MA,2116,,,54384,,1860,2014,,125.7,,,,,,525.8,,,503207200
80 Boylston St./ The Little Building,Residence Hall/Dormitory,80 Boylston Street,Boston,Suffolk,MA,2116,,,216877,,1917,2014,,,,,,,,0,,,500001001
855 Boylston Street-Gateway Longwood,Office,855 Boylston,Boston,Suffolk,MA,2116,,,170775,,1985,2014,,64.3,,,,,,968.7,9.9,2012,3134000
ABRAHAM LINCOLN,K-12 School,152 Arlington St.,Boston,Suffolk,MA,2116,,,80364,,1911,2014,97,48.6,,,,,,234.2,0.95,,
Ansin Building,College/University,180 Tremont St,Boston,Suffolk,MA,2116,,,98744,,1931,2014,,,,,,,,,11.95,,304890100
Arlington Boylston,Office,330-350 Boylston Street,Boston,Suffolk,MA,2116,,,63054,,1899,2014,45,116.9,,,,,,544.8,11.67,,501167000
Boston Common Hotel,Hotel,430 Stuart St.,Boston,Suffolk,MA,2116,,,84180,,1925,2014,8,106.6,,,,,,706.5,52.42,,401084010
Boston Common Maitenance Shed,"Repair Services (Vehicle, Shoe, Locksmith, etc)",80 A Op Boylston St,Boston,Suffolk,MA,2116,,,,,2001,2014,,,,,,,,0,159,,
Boylston and Gloucester LLC,Retail Store,761 Boylston Street,Boston,Suffolk,MA,2116,,,55720,,1905,2014,,323.3,,,,,,1327.1,,,503210000
Brookline Bancorp,Financial Office,131 Clarendon Street,Boston,Suffolk,MA,2116,,,70346,,1899,2014,39,123.5,,,,,,697.1,,,4289436
Bryant Back Bay,Other - Lodging/Residential,303 columbus ave,Boston,Suffolk,MA,2116,,,168920,,2009,2014,,,,,,,,,,,
Castle Square,Multifamily Housing,484 Tremont St,Boston,Suffolk,MA,2116,,,531506,,1965,2014,96,68.8,,,,,,2113.2,65.24,2014,0500478002;0500550001;0500590000
City Year,Office,287 Columbus Ave,Boston,Suffolk,MA,2116,,,64540,,1930,2014,79,71.1,,,,,,386.6,11.13,2014,400549000
Clarendon,Multifamily Housing,135 Clarendon Street / 400 Stuart Street,Boston,Suffolk,MA,2116,,,443679,,2009,2014,,57.1,,,,,,1992.6,11.39,,401129218
Clarendon and Berkeley Buildings,Financial Office,200 Berkeley St &&,Boston,Suffolk,MA,2116,,,1624928,,1922,2014,89,62,,,,,,8927,,2014;2013;2012;2011;2010;2009;2008;2007;2006;2005,401115000
Colonial Theater,Performing Arts,98-106 Boylston Streeet,Boston,Suffolk,MA,2116,,,172349,,1900,2014,,,,,,,,0,23.06,,500045000
"Community Development, Inc. (aka 95 Berkeley)",Office,21 Chandler St,Boston,Suffolk,MA,2116,,,125054,,1899,2014,86,71.4,,,,,,595.4,8.82,,500706000
Copley Branch (Johnson / McKim),Library,700 Bolyston Street,Boston,Suffolk,MA,2116,,,500000,,2000,2014,,131.7,,,,,,5249,5.51,,
copley place,,100 huntington avenue,Boston,Suffolk,MA,2116,,,,,1983,2014,,112.7,,,,,,13284,169.48,,400600020
Copley Square Hotel,Hotel,47 Huntington Ave,Boston,Suffolk,MA,2116,,,74214,,1891,2014,61,63.9,,,,,,456.8,67.35,,
Courtyard Boston Downtown,Hotel,275 Tremont St,Boston,Suffolk,MA,2116,,,375000,,1925,2014,80,61.9,,,,,,1665,32.21,,
Dudley Branch,Library,65 Warren St,Boston,Suffolk,MA,2116,,,25933,,2000,2014,,107.8,,,,,,191.7,1.1,,
Engine 07,Fire Station,200 Columbus Ave,Boston,Suffolk,MA,2116,,,11376,,2000,2014,,122.4,,,,,,132.6,3.11,,
Exeter Theatre Corporation,Mixed Use Property,26 Exeter Street,Boston,Suffolk,MA,2116,,,46025,,1899,2014,,54.9,,,,,,240,104.25,,501376000
Fairmont Copley Plaza Boston,Hotel,138 St. James Ave.,Boston,Suffolk,MA,2116,,,334522,,1985,2014,19,144.9,,,,,,3508.8,61.13,,401087000
Five Hundred Boylston Street,Office,500 Boylston St.,Boston,Suffolk,MA,2116,,,994537,,1987,2014,70,68.7,,,,,,4949.6,13.04,2014;2010;2009;2008;2002;2000,401092000
Four Seasons Place - Hotel/Condo Management,Hotel,200/220 Boylston Street,Boston,Suffolk,MA,2116,,,887170,,1980,2014,35,73.7,,,,,,4858.8,27.19,,
Garrison Condominium,Multifamily Housing,8 Garrison St,Boston,Suffolk,MA,2116,,,73000,,1900,2014,94,65.9,,,,,,288.5,31.4,,401011000
Garrison Square,Multifamily Housing,32 Garrison Street,Boston,Suffolk,MA,2116,,,115806,,1985,2014,,57.3,,,,,,641.8,45.36,,400972000
Hancock Tower,Office,200 Clarendon Street,Boston,Suffolk,MA,2116,,,2419949,,1976,2014,66,104.9,,,,,,20490,13.48,2009;2008;2007;2006;2005,401134000
Hostelling International - Boston,Hotel,19 Stuart Street,Boston,Suffolk,MA,2116,,,65000,,2012,2014,19,203.2,,,,,,523.3,59.93,,304925000
Liberty Mutual Tower,Office,157 Berkeley Street,Boston,Suffolk,MA,2116,,,848712,,2013,2014,84,89.3,,,,,,5192.1,14.57,,0501149000;0501150000;0501148000
Loews Boston Hotel,Hotel,350 Stuart Street,Boston,Suffolk,MA,2116,,,172000,,2004,2014,36,125.9,,,,,,1546.7,45.85,,401117000
MA036_Avalon Exeter,Multifamily Housing,77 Exeter Street,Boston,Suffolk,MA,2116,,,268850,,2014,2014,92,33.5,,,,,,750,8.84,,401037085
MCKINLEY MACKEY,K-12 School,90 Warren Ave.,Boston,Suffolk,MA,2116,,,78258,,1959,2014,92,60.4,,,,,,282.7,1.03,,
Methunion,Multifamily Housing,465 Columbus Avenue,Boston,Suffolk,MA,2116,,,42998,,1971,2014,36,124.3,,,,,,328.4,51.09,,400790000
Motor Mart Garage,Parking,201 - 241 Stuart Street,Boston,Suffolk,MA,2116,,,471744,,1928,2014,,585.4,,,,,,2210.4,205.9,,500139000
New England Law/Boston,Other - Education,154 Stuart St.,Boston,Suffolk,MA,2116,,,65000,,1879,2014,,96.5,,,,,,526.8,1.58,,302615000
Old South Church in Boston,Worship Facility,645 Boylston Street,Boston,Suffolk,MA,2116,,,54860,,1875,2014,,32.5,,,,,,146.6,1.06,,
One Charles Condominium,Multifamily Housing,One Charles Street South,Boston,Suffolk,MA,2116,,,326000,,2004,2014,,137.9,,,,,,3328.5,27.51,,501088139
Park Square Building,Office,31 St. James Ave,Boston,Suffolk,MA,2116,,,500000,,1922,2014,99,60,,,,,,1939.3,17.57,,
Piano Row,Residence Hall/Dormitory,144/150 Boylston St,Boston,Suffolk,MA,2116,,,199874,,2006,2014,1,,,,,,,,30.72,,500031000
QUINCY CHURCH,K-12 School,20 Church St.,Boston,Suffolk,MA,2116,,,17640,,1999,2014,96,47.8,,,,,,57.4,0.66,,
Revere Hotel,Mixed Use Property,200 Stuart Street,Boston,Suffolk,MA,2116,,,660000,,2012,2014,,152.4,,,,,,5099.3,37.22,,500135000
SNOWDEN,K-12 School,150 Newbury St.,Boston,Suffolk,MA,2116,,,36400,,1885,2014,79,61.5,,,,,,156.7,0.71,,
South Cove Plaza: 230 Stuart Street,Multifamily Housing,230 Stuart St,Boston,Suffolk,MA,2116,,,139560,,1982,2014,84,46.1,,,,,,490.5,59.65,,500800000
South Cove Plaza: 285 Tremont St,Multifamily Housing,285 Tremont St,Boston,Suffolk,MA,2116,,,84050,,1982,2014,32,86.7,,,,,,484.5,62.29,,500066000
St Germain,Multifamily Housing,8-67 St Germain Street,Boston,Suffolk,MA,2116,,,159042,,1900,2014,100,20.9,,,,,,295.8,39.17,,401229000
Tent City,Multifamily Housing,130 Dartmouth Street,Boston,Suffolk,MA,2116,,,327174,,1987,2014,5,77,,,,,,2248.2,38.79,,400600040
The Colonnade Hotel,Hotel,120 Huntington Avenue,Boston,Suffolk,MA,2116,,,276439,,1971,2014,54,135.4,,,,,,2475.9,85.71,,
The Colonnade Residences,Multifamily Housing,118 Huntington Avenue,Boston,Suffolk,MA,2116,,,177200,,2002,2014,,138,,,,,,1684,,,400905010
The Copley Condominium,Multifamily Housing,271 Dartmouth St,Boston,Suffolk,MA,2116,,,53000,,1871,2014,57,59.2,,,,,,260.1,74.31,,501312000
The Heritage on the Garden,Mixed Use Property,300 Boylston Street,Boston,Suffolk,MA,2116,,,444690,,1988,2014,19,83.3,,,,,,2767.7,23.13,,501170002
The Lenox Hotel,Hotel,710 Boylston Street,Boston,Suffolk,MA,2116,,,130410,,1900,2014,67,129.9,,,,,,1214.1,65.28,2007;2004,401038000
"The Westin Copley Place, Boston",Hotel,10 Huntington Avenue,Boston,Suffolk,MA,2116,,,976515,,1982,2014,74,70.5,,,,,,4998.9,28.04,,401067010
Trinity Place Condominium,Multifamily Housing,1 Huntington Ave.,Boston,Suffolk,MA,2116,,,204000,,2001,2014,1,133,,,,,,1825.7,28.34,,401053010
Two Clarendon,,2 Clarendon Street,Boston,Suffolk,MA,2116,,,,,1985,2014,,,,,,,,309.8,,,400206000
Two Twenty Two Berkeley,Office,222 Berkeley Street,Boston,Suffolk,MA,2116,,,696838,,1991,2014,90,53.4,,,,,,2705.6,9.38,2014;2012;2011;2009;2008;2005;2002;1999,401096000
Vendome Condo: 160 Commonwealth Avenue,Multifamily Housing,160 Commonwealth Avenue,Boston,Suffolk,MA,2116,,,127608,,1871,2014,13,63.2,,,,,,664,28.15,,501383000
W Hotel Boston,Mixed Use Property,100 Stuart St.,Boston,Suffolk,MA,2116,,,392547,,2009,2014,47,86.3,,,,,,2430.4,,,500075030
Walker Building,College/University,120 Boylston St,Boston,Suffolk,MA,2116,,,176296,,1891,2014,,89.2,,,,,,1280.7,,,500043011
100 East Newton Street (635 Albany) G Building,Medical Office,100 East Newton Street,Boston,Suffolk,MA,2118,,,89406,,1969,2014,,,,,,,,,,,801295000
100-112 Shawmut Avenue,Office,100-112 Shawmut Avenue,Boston,Suffolk,MA,2118,,,70000,,1916,2014,92,58.9,,,,,,305.6,29.57,,306180000
1010 Massachusetts Ave,Other,1010 Massachusetts Ave,Boston,Suffolk,MA,2118,,,195000,,2000,2014,,31.2,,,,,,446.2,1.75,,
1230 Washington St,Manufacturing/Industrial Plant,1234 Washington St,Boston,Suffolk,MA,2118,,,60990,,1926,2014,,29.6,,,,,,109.1,7.51,,306443000
170 Shawmut Ave,Manufacturing/Industrial Plant,170 Shawmut Avenue,Boston,Suffolk,MA,2118,,,52224,,1960,2014,,40.4,,,,,,124.7,,,30616000
29187-Boston / Southampton Street,Non-Refrigerated Warehouse,290 Southampton Street,Boston,Suffolk,MA,2118,,,73400,,2004,2014,95,19.3,,,,,,97.2,1.2,,700074020
30 Northampton Street,,30 Northampton St,Boston,Suffolk,MA,2118,,,,,1966,2014,,1.4,,,,,,7.5,0.03,,801750000
30 Winter Street,,30 Winter Street,Boston,Suffolk,MA,2118,,,,,1975,2014,,,,,,,,,,,
450 Harrison Ave,Office,450 Harrison Ave,Boston,Suffolk,MA,2118,,,88000,,1893,2014,100,28.6,,,,,,184,8.5,,306532000
46 Waltham St,Office,44 Waltham St,Boston,Suffolk,MA,2118,,,80000,,1897,2014,100,28.1,,,,,,130.7,19.01,,305959000
500 Harrison Ave,Office,8 Randolph St,Boston,Suffolk,MA,2118,,,145000,,1889,2014,100,10,,,,,,84.9,7.83,,306536000
549 Albany Street - 535139,Laboratory,549 Albany Street,Boston,Suffolk,MA,2118,,,105462,,1895,2014,,222.6,,,,,,1806.6,3.15,,0801159000;0801161000;0801154010
560 Harrison Ave,Office,100 Union Park St,Boston,Suffolk,MA,2118,,,196000,,1902,2014,100,15.1,,,,,,233,23,,306529000
580 Harrison Ave,Office,443 Albany St,Boston,Suffolk,MA,2118,,,77000,,1887,2014,99,41.8,,,,,,228.2,18.9,,306510000
609 Albany Street,Medical Office,609 Albany Street,Boston,Suffolk,MA,2118,,,35036,,1990,2014,,,,,,,,0,,,
610 Albany Street,Parking,610 Albany Street,Boston,Suffolk,MA,2118,,,495081,,2006,2014,,,,,,,,0,,,801030020
620 Albany Street,Laboratory,620 Albany Street,Boston,Suffolk,MA,2118,,,195000,,2008,2014,,,,,,,,,,,
650 Albany Street,Laboratory,650 Albany Street,Boston,Suffolk,MA,2118,,,196458,,1999,2014,,,,,,,,0,,,
700 Albany Street,Laboratory,700 Albany Street,Boston,Suffolk,MA,2118,,,180627,,1993,2014,,,,,,,,0,,,
700 Harrison Ave Condominium,Other - Lodging/Residential,700 Harrison Ave,Boston,Suffolk,MA,2118,,,173387,,2007,2014,,42.7,,,,,,558.9,122.75,,801212000
70-72 East Concord Street L Building,Laboratory,72 East Concord Street,Boston,Suffolk,MA,2118,,,215224,,1968,2014,,,,,,,,,,,801403000
710 Albany Street,Parking,710 Albany Street,Boston,Suffolk,MA,2118,,,312921,,2000,2014,,,,,,,,27.8,,,
750 Harrison Avenue,Medical Office,750 Harrison Avenue,Boston,Suffolk,MA,2118,,,56487,,1918,2014,,,,,,,,,,,
75-85 East Newton Street (Evans)  E Building,Laboratory,75 East Newton Street,Boston,Suffolk,MA,2118,,,180366,,1972,2014,,,,,,,,,50.03,,
778-780 Harrison Avenue R (10 Stoughton),Laboratory,780 Harrison Avenue,Boston,Suffolk,MA,2118,,,120633,,1959,2014,,,,,,,,,,,
790 Harrison Ave (71 East Concord) K Building,Laboratory,790 Harrison Ave (71 East Concord),Boston,Suffolk,MA,2118,,,77861,,1904,2014,,,,,,,,,,,801420010
815 Albany Street,Multifamily Housing,815 Albany Street,Boston,Suffolk,MA,2118,,,102283,,2012,2014,36,64.6,,,,,,487.3,,,802041010
82 East Concord Street (715 Albany Street),Medical Office,82 East Concord Street,Boston,Suffolk,MA,2118,,,82153,,1876,2014,,,,,,,,0,,,801418000
960 Mass Ave.,Other,960 Massachusetts Ave,Boston,Suffolk,MA,2118,,,77000,,1920,2014,,59.2,,,,,,323.8,8.51,,
99 Atkinson St,Manufacturing/Industrial Plant,99 Atkinson St,Boston,Suffolk,MA,2118,,,58850,,1950,2014,,65.9,,,,,,237.3,1.48,,801038001
Americold Logistics,Refrigerated Warehouse,100 Widett Circle,Boston,Suffolk,MA,2118,,,260000,,1969,2014,71,36.4,,,,,,916.5,4.17,,600006020
Anti Corruption,Police Station,1960 Washington St,Boston,Suffolk,MA,2118,,,4200,,2000,2014,,59.4,,,,,,17.6,,,
Beck Southend Trust,Other,49-59 Wareham St.,Boston,Suffolk,MA,2118,,,57072,,1900,2014,,60.1,,,,,,202,4.82,,801136000
Biosquare - Phase I,Office,670 Albany Street,Boston,Suffolk,MA,2118,,,221299,,2005,2014,29,115.2,,,,,,2461,50.09,,801066100
BLACKSTONE,K-12 School,380 Shawmut Ave.,Boston,Suffolk,MA,2118,,,194260,,1975,2014,77,68.5,,,,,,840.3,1.14,,
Blackstone Square LP,Other,1511 - 1525 Washington Street,Boston,Suffolk,MA,2118,,,50290,,1900,2014,,,,,,,,0,,,
"Boston Flower Exchange, Inc.",Distribution Center,540 Albany St,Boston,Suffolk,MA,2118,,,77000,,1970,2014,66,89,,,,,,475.9,,,801055000
Boston Medical Center,Hospital (General Medical & Surgical),One Boston Medical Center Place,Boston,Suffolk,MA,2118,,,2828429,,1986,2014,33,215.2,,,,,,36992.5,40.85,,
BROOKLINE ICE,Other - Utility,225 SOUTHHAMPTON ST,Boston,Suffolk,MA,2118,,,2000,,1950,2014,,34.9,,,,,,6.7,,,
Camfield Estates,Multifamily Housing,112 Camden Street,Boston,Suffolk,MA,2118,,,113315,,1998,2014,13,127,,,,,,882.6,67.56,,901220000
CARTER,K-12 School,396 Northampton St.,Boston,Suffolk,MA,2118,,,14435,,1900,2014,6,89.1,,,,,,124.5,,,
Cathedral of the Holy Cross,Worship Facility,1400 Washington Street,Boston,Suffolk,MA,2118,,,80974,,1875,2014,100,10.8,,,,,,52.1,0.26,,801111000
Central Maintenance Facility,Other,400 Frontage Rd,Boston,Suffolk,MA,2118,,,422000,,2000,2014,,139.8,,,,,,3523.4,1.04,,
Concord Houses- 715 Tremont,Multifamily Housing,715 Tremont Street,Boston,Suffolk,MA,2118,,,75000,,1976,2014,48,93.6,,,,,,434.8,43.5,,402660000
Concord Houses- 725 Tremont,Multifamily Housing,725 Tremont Street,Boston,Suffolk,MA,2118,,,80000,,1976,2014,34,105.8,,,,,,527.8,41.43,,402600000
CubeSmart - Massachusetts Avenue,Self-Storage Facility,968 Massachusetts Avenue,Boston,Suffolk,MA,2118,,,85804,,2001,2014,,10,,,,,,63.4,0.58,,801023030
D-04 Station,Police Station,650 Harrison Ave,Boston,Suffolk,MA,2118,,,27224,,2000,2014,,216.9,,,,,,410.3,2.75,,
Davenport Commons Condo,Multifamily Housing,2 - 12 Douglas Park,Boston,Suffolk,MA,2118,,,59200,,1998,2014,99,27.1,,,,,,120.5,,,
Engine 22,Fire Station,700 Tremont St,Boston,Suffolk,MA,2118,,,10500,,2000,2014,,121,,,,,,79.9,2.81,,
Finland Building,Urgent Care/Clinic/Other Outpatient,754 Albany Street,Boston,Suffolk,MA,2118,,,43510,,2000,2014,,,,,,,,0,0.9,,
Food-Pak Express,Wholesale Club/Supercenter,120 Southampton Street,Boston,Suffolk,MA,2118,,,72000,,1945,2014,1,167.6,,,,,,846.5,4.14,,801038000
Franklin,Multifamily Housing,11 East Newton Street,Boston,Suffolk,MA,2118,,,178322,,1867,2014,52,92.5,,,,,,995.6,43.76,,801385002
Gateway Terrace Condominium,Other - Lodging/Residential,"35 Fay Street, 40 Fay Street, 1166 Washington Street",Boston,Suffolk,MA,2118,,,134880,,2005,2014,,80.2,,,,,,911.7,,,306396010
Granite Harrison Court,Multifamily Housing,761 Harrison Avenue,Boston,Suffolk,MA,2118,,,79825,,1858,2014,,66.8,,,,,,463.8,,,801401300
Granite James Court,Multifamily Housing,45 East Newton Street,Boston,Suffolk,MA,2118,,,137520,,2006,2014,98,41.5,,,,,,385.4,17.7,,801391022
Greater Boston Food Bank,Distribution Center,70 Southbay Avenue,Boston,Suffolk,MA,2118,,,117244,,2009,2014,21,81,,,,,,821.5,5.18,,
Harrison Lofts Conodminium,Other - Lodging/Residential,485 Harrison Ave,Boston,Suffolk,MA,2118,,,65121,,2001,2014,,,,,,,,,,,306445010
Headquarters BFD,Fire Station,115 South Hampton St,Boston,Suffolk,MA,2118,,,62432,,2000,2014,,146.6,,,,,,598.5,,,
HURLEY,K-12 School,70 Worcester St.,Boston,Suffolk,MA,2118,,,42043,,1961,2014,92,63.3,,,,,,160.2,0.91,,
Laconia Condominium Association,Multifamily Housing,1200 Washington Street,Boston,Suffolk,MA,2118,,,96000,,1944,2014,100,43,,,,,,266.9,32,,306395010
Mandela Homes,Multifamily Housing,1855 Washington Street,Boston,Suffolk,MA,2118,,,114190,,1900,2014,100,2.9,,,,,,32.3,6.27,,901150000
Mass. Wholesale Food Terminal,Manufacturing/Industrial Plant,130 Newmarket Square,Boston,Suffolk,MA,2118,,,160000,,1952,2014,,140.2,,,,,,1727.6,22.46,,801021070
Mattapan Campus,Urgent Care/Clinic/Other Outpatient,249 River Street,Boston,Suffolk,MA,2118,,,,,2000,2014,,,,,,,,0,,,
Northampton Campus,Other - Lodging/Residential,35 Northampton Street,Boston,Suffolk,MA,2118,,,289096,,2000,2014,,,,,,,,0,,,
Parmelee Court,Multifamily Housing,1762 Washington Street,Boston,Suffolk,MA,2118,,,87800,,1991,2014,99,58.6,,,,,,300.8,54.78,,0801607000;0801610010;0801615010
Penny Savings Bank,Other - Lodging/Residential,30 Union Park Street,Boston,Suffolk,MA,2118,,,52503,,2007,2014,,19,,,,,,69.1,,,30596000
Piano Craft Guild,Multifamily Housing,791 Tremont Street,Boston,Suffolk,MA,2118,,,177600,,1972,2014,40,88,,,,,,957.8,,,901071000
Quinzani's Bakery,Manufacturing/Industrial Plant,380 Harrison Ave,Boston,Suffolk,MA,2118,,,51188,,1980,2014,,543.7,,,,,,1719.4,25.72,,
Rollins Square,Multifamily Housing,2 Rollins Street,Boston,Suffolk,MA,2118,,,399507,,2003,2014,90,50.6,,,,,,1365.6,23.5,,306455010
Roxbury Corners,Multifamily Housing,1801 Washington Street,Boston,Suffolk,MA,2118,,,88733,,1991,2014,94,65.7,,,,,,348.9,53.27,,0900881000;0900882000;0900883000;0901180010
Saranac,Multifamily Housing,627 Columbus Ave,Boston,Suffolk,MA,2118,,,74156,,1930,2014,94,79.8,,,,,,321,51.14,,901045000
South End Branch,Library,685 Tremont St,Boston,Suffolk,MA,2118,,,11342,,2000,2014,,62.6,,,,,,54.8,0.85,,
Southampton Street,Office,112 Southampton St,Boston,Suffolk,MA,2118,,,44719,,2000,2014,100,11.4,,,,,,49.5,,,
St. Helena's House: 89 Union Park Street,Multifamily Housing,89 Union Park St,Boston,Suffolk,MA,2118,,,85828,,1986,2014,81,59.6,,,,,,336.1,33.45,,801080000
The 1850 Condominium,Other - Lodging/Residential,90 Wareham Street,Boston,Suffolk,MA,2118,,,52448,,2008,2014,,58.1,,,,,,224.2,,,801106020
Tow Lot,Other - Public Services,200 Frontage Rd,Boston,Suffolk,MA,2118,,,46154,,2000,2014,,40,,,,,,159.4,0.75,,
Traveler Storage LLC,Other,33 Traveler Street,Boston,Suffolk,MA,2118,,,53312,,1988,2014,,25.2,,,,,,92.9,2.2,,306576000
Viviendas: 100 West Dedham,Multifamily Housing,100 West Dedham,Boston,Suffolk,MA,2118,,,63968,,2001,2014,24,107.1,,,,,,435,67.76,,900080000
Viviendas: 12 San Juan,Multifamily Housing,12 San Juan Street,Boston,Suffolk,MA,2118,,,55302,,2001,2014,26,112.8,,,,,,389.8,98.92,,900079000
Waterford Place,Multifamily Housing,180 Shawmut Ave,Boston,Suffolk,MA,2118,,,50597,,1990,2014,77,95.7,,,,,,264.8,50.42,,306150000
Wilkes Passage Condominium Trust,Multifamily Housing,1313 Washington Street,Boston,Suffolk,MA,2118,,,287000,,1900,2014,90,47,,,,,,949.1,21.91,,306010010
