Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
1220 19th Street,Office,"1220 19th Street, N.W.",Washington,District of Columbia,DC,20036,,,110414,95154,1978,2013,80,56.6,163.8,56.6,163.9,,,635.5,,1220 19TH ST NW,1160074,WRIT LP,,1556347,,2,396193.3175,137641.8349
*50024 - 1129 20th Street NW,Office,1129 20th Street NW,Washington,District of Columbia,DC,20036,,,139224,182117,2009,2013,84,57.5,180.4,57.5,180.4,,,1325.2,12.9971392,1129 20TH ST,1170075,REPUBLIC 20TH STREET LLC,,1984865,,2,396140.7812,137411.1433
"1120 19th Street, NW",Office,1120 19th Street NW,Washington,District of Columbia,DC,20036,,,110550,120751,1974,2013,63,69,216.6,69,216.6,,,1054.8,33.7761178,1120 19TH ST NW,1170078,PRUDENCE LLC,,1331248,,2,396192.8503,137410.8385
"Prudence, LLC",Office,"1120 19th Street, NW",Washington,District of Columbia,DC,20036,,,110550,116140,1974,2013,62,71.6,224.8,71.6,224.8,,,1052.9,33.40537283,1120 19TH ST NW,1170078,PRUDENCE LLC,,3350280,,2,396192.8503,137410.8385
1133 20th Street Building Corp,Office,1133 20th Street NW,Washington,District of Columbia,DC,20036,,,165577,128261,1985,2013,55,76,238.6,76,238.8,,,1234,11.93503871,1133 20TH ST NW,1170879,1133 20TH ST BUILDING CORP,,3475610,,2,396140.7812,137456.0252
1901 Pennsylvania Ave,Office,1901 Pennsylvania Ave,Washington,District of Columbia,DC,20006,,,113188,120287,1959,2013,,54.1,138.9,54.2,139,,,692.8,,1901 PENNSYLVANIA AV NW,1180818,B FRANKLIN KAHN TRUSTEE,,1368706,,2,396199.4881,136982.8728
Elliott School,Other,"1957-1959 E St, NW",Washington,District of Columbia,DC,20052,,,240742,254162,2002,2013,,85,209.5,85.3,209.7,,,2229.6,31.08647241,1957 E ST,1220029,GEORGE WASHINGTON UNIVERSITY,,1419812,,2,396165.242,136492.684
1776 K Street NW,Office,1776 K Street NW,Washington,District of Columbia,DC,22202,,,256839,213067,1969,2013,83,59.8,162.7,59.8,162.7,,,1603.6,24.91000483,1776 K ST NW,1260057,RIDDELL PROPERTIES INC,,6768,,2,396422.696,137148.8134
1750 K Street NW,Office,1750 K Street NW,Washington,District of Columbia,DC,20006,,,214618,180086,1975,2013,78,60.7,190.4,60.7,190.4,,,1383.2,14.02329998,1750 K ST NW,1260058,1750 K STREET LLC,,1597342,,2,396463.044,137141.5743
"L&B 1775 Eye Street, LLC",Office,"1775 Eye Street, NW",Washington,District of Columbia,DC,20006,,,286694,206356,1969,2013,84,52.7,164.1,52.7,164.1,,,1366.9,10.86181163,1775 I ST NW,1260060,L&B 1775 I STREET INC,,1356879,,2,396426.7351,137085.0582
Barr Building,Office,"910 17th Street, NW",Washington,District of Columbia,DC,20006,,,115104,113960,1927,2013,82,60.2,183.6,60.1,183.3,,,847.1,15.17725518,0910 17TH ST NW,1260830,BARR BUILDING LLC,,1356880,,2,396536.6495,137116.022
The Farragut Building,Office,900 17th Street NW,Washington,District of Columbia,DC,20006,,,200034,160153,1961,2013,95,41.7,118.5,41.6,118.4,,,775.6,4.769813865,0900 17TH ST NW,1260852,GNAREI 1 FARRAGUT LLC,,1641990,,2,396540.3988,137086.278
1722 Eye Street,Office,1722 Eye Street,Washington,District of Columbia,DC,20006,,,167233,180564,1979,2013,68,60.4,189.7,60.4,189.7,,,1381.3,13.32269998,1722 - 1726 I ST NW,1270050,1722 EYE STREET ASSOCIATES,,2790969,,2,396455.8972,137017.4787
1776 I St,Office,1776 I St NW,Washington,District of Columbia,DC,20006,,,293324,242298,1987,2013,86,50.8,159.6,50.8,159.6,,,1648.1,18.74344815,1776 I ST NW,1270053,1776 EYE SPE LLC,,3337685,,2,396423.7032,137010.0113
"SC DuPont Leasehold, Inc.",Office,"11 Dupont Circle, NW",Washington,District of Columbia,DC,20036,,,171077,160898,1973,2013,69,64.3,201.9,64.2,201.7,,,1310,,0011 DUPONT CIR NW,1360035,SC DUPONT FEE INC,,1326888,,2,396320.0209,138042.0122
1800 Massachusetts Avenue NW (SEIU),Office,"1800 Massachusetts Avenue, NW",Washington,District of Columbia,DC,20036,,,185604,204643,1979,2013,88,52.8,165.8,52.8,165.8,,,1368.6,12.70749549,1800 - 1824 MASSACHUSETTS AV NW,1370056,1800 MASSACHUSETTS AVENUE CORP,,1326957,,2,396333.679,137881.9711
The Triangle Building,Office,"1350 Connecticut Avenue, NW",Washington,District of Columbia,DC,20036,,,239502,186119,1928,2013,59,72.5,227.7,72.5,227.7,,,1806.7,33.69940737,1350 CONNECTICUT AV NW Unit: 1200,1380013,1350 CONNECTICUT AVE LP,,4353042,,2,396267.2857,137828.799
"1330 Connecticut Ave., NW",Office,"1330 Connecticut Ave., NW",Washington,District of Columbia,DC,22204,,,255095,335991,1984,2013,82,66.8,209.5,66.8,209.5,,,3104.8,26.71708468,1330 CONNECTICUT AV NW,1380803,BP 1330 CONNECTICUT AVENUE LLC,,1436116,,2,396278.4753,137785.7119
1300 Connecticut Avenue NW,Office,1300 Connecticut Avenue NW,Washington,District of Columbia,DC,20036,,,147560,138711,1954,2013,62,69.5,218.1,69.5,218.1,,,1220.3,23.75875021,1300 CONNECTICUT AV NW,1380804,TRT 1300 CONNECTICUT AVE OWNER LLC,,1056237,,2,396298.7298,137742.6464
1818 N St,Office,1818 N St NW,Washington,District of Columbia,DC,20036,,,101988,108209,1984,2013,76,66.9,210.1,66.9,210.1,,,917.1,11.8234158,1818 N ST NW,1390074,LENKIN-N LP,,2364583,,2,396275.7517,137680.1771
Jefferson Building,Office,1225 19th Street,Washington,District of Columbia,DC,20036,,,101337,65799,1963,2013,58,77.7,244,77.7,244,,,647.6,21.73437286,1225 19TH ST NW,1390817,DC JEFFERSON BUILDING LLC,,1878428,,2,396267.2173,137644.7044
DC Jefferson Bldg - Retail,Office,1225 19th Street NW,Washington,District of Columbia,DC,20036,,,101337,73168,1963,2013,30,104.4,327.8,104.4,327.8,,,967.3,19.75590422,1225 19TH ST NW,1390817,DC JEFFERSON BUILDING LLC,,3299991,,2,396267.2173,137644.7044
1899 L Street,Office,"1899 L St, NW",Washington,District of Columbia,DC,20036,,,147460,159817,1978,2013,72,74.5,233.9,74.5,233.9,,,1507.7,29.24282148,1899 L ST NW,1400089,1899 L  STREET TOWER LLC,,1050505,,2,396266.5848,137354.7844
1111 19th St NW,Office,1111 19th St NW,Washington,District of Columbia,DC,20036,,,270061,294701,1979,2013,77,65,204.1,65,204,,,2564.6,13.92156796,1111 19TH ST NW,1400090,COLUMBIA DC 1111 19TH ST OFFICE PROPERTIES LLC,,1470509,,2,396277.6338,137394.9267
1850 M St.,Office,"1850 M St., NW",Washington,District of Columbia,DC,20036,,,302448,254980,1986,2013,86,58.4,183.5,58.4,183.5,,,1886.6,13.68146521,1850 M ST NW,1400092,MANUFACTURERS LIFE INSURANCE,,1268752,,2,396279.5297,137501.5459
1800 M Street,Office,"1800 M Street, NW",Washington,District of Columbia,DC,20036,,,550211,588028,1975,2013,75,54.2,167.6,54.3,167.9,,,3982.8,13.9682124,1800 M ST NW,1400095,PRISA ACQUISITION LLC,,1569687,,2,396340.8068,137471.7553
Sasakawa Peace Foundation,Office,1819 L Street NW,Washington,District of Columbia,DC,20036,,,70262,52873,1982,2013,89,38.8,122,39.1,122.9,,,260.1,11.31012048,1819 L ST NW,1400876,SASAKAWA PEACE FOUNDATION,,3048381,,2,396318.1784,137352.4984
1819 L Street,Office,1819 L Street NW,Washington,District of Columbia,DC,20036,,,70262,52873,1982,2013,96,39.1,122.9,39.1,122.9,,,262.1,,1819 L ST NW,1400876,SASAKAWA PEACE FOUNDATION,,3554570,,2,396318.1784,137352.4984
Verizon - 1133 19th St,Office,1133 19th St NW,Washington,District of Columbia,DC,20036,,,275585,206900,2000,2013,54,122.2,383.6,122.2,383.6,,,3201.1,23.55340744,1137 - 1141 19TH ST NW,1400907,1137 19TH STREET ASSOCIATES,,1431417,,2,396277.6338,137437.4235
"1145 19TH, WASHINGTON, DC,  Site #535047",Medical Office,1145 19TH ST NW,Washington,District of Columbia,DC,20036,,,173812,152027,1990,2013,66,70.8,199,70.7,198.8,,,1303.8,48.9228887,1145 19TH ST NW,1400913,SNH MEDICAL OFFICE PROPERTIES TRUST,,1750762,,2,396279.5297,137467.2558
Northwestern Building,Office,1800 G Street NW,Washington,District of Columbia,DC,20006,,,813848,727483,1970,2013,84,57.4,161.2,57.6,161.4,,,4799.8,11.85072366,1800 G ST NW,1420825,NORTHWESTERN DEVELOPMENT CO,,1257644,,2,396307.1776,136686.6486
Bernstein Offit Building,Office,"1717 Mass Avenue, NW",Washington,District of Columbia,DC,20036,,,147541,122460,1962,2013,81,82.2,174.8,82.7,175.4,,,915.6,9.67581251,1717 MASSACHUSETTS AV NW,1570850,THE JOHN HOPKINS UNIVERSITY,,1421555,,2,396574.8525,137877.61
Brookings Institution,Office,1775 Massachusetts Avenue N.W.,Washington,District of Columbia,DC,20036,,,173315,112278,1962,2013,77,75.4,174.7,76,175.3,,,826.6,27.802419,1775 MASSACHUSETTS AV NW,1570864,BROOKINGS INSTITUTION,,3509604,,2,396487.5007,137903.6881
Brookings Institution Annex,Office,1755 Massachusetts Avenue N.W.,Washington,District of Columbia,DC,20036,,,173315,67068,1964,2013,58,93.7,221.4,94.6,222.3,,,623.9,9.730422854,1775 MASSACHUSETTS AV NW,1570864,BROOKINGS INSTITUTION,,3512309,,2,396487.5007,137903.6881
Webster House Condominium,Multifamily Housing,1718 P Street NW,Washington,District of Columbia,DC,20036,,,101476,97712,1967,2013,,93,180.7,94,181.8,,,768,53.81017685,1718 P ST NW,1572150,WEBSTER HOUSE CONDO,,3632808,,2,,
Boston House Condominium,Multifamily Housing,"1711 Massachusetts Ave, NW",Washington,District of Columbia,DC,20036,,,142985,209012,1950,2013,,58.5,107.8,59.1,108.4,,,989.9,37.03519415,1711 MASSACHUSETTS AVE NW,1572152,BOSTON HOUSE CONDO,,3489484,,2,,
1776 Mass Ave,Office,1776 Massachusetts Ave NW,Washington,District of Columbia,DC,20036,,,115510,96447,1969,2013,89,52.1,163.7,52.2,164,,,636.9,10.50110423,1776 MASSACHUSETTS AV NW,1580078,1776 MASS AVE RE LLC,,3499503,,2,396429.5062,137842.5353
